dh,from,to,Au,Cu,Au:shell,Cu:shell,x,startx,endx,y,starty,endy,z,startz,endz
1,0.0,10.0,0.07813,50.0,0,0,19975.1714,19973.679,19976.66481,18698.03738,18695.715,18700.3591,210.08515,214.254,205.9163
1,10.0,20.0,0.091,33.0,0,0,19978.16031,19976.66481,19979.65898,18702.68004,18700.3591,18705.00006,201.74776,205.9163,197.57985
1,20.0,30.0,0.988,97.0001,0,0,19981.1598,19979.65898,19982.66176,18707.31872,18705.00006,18709.63554,193.41195,197.57985,189.24345
1,30.0,40.0,0.364,66.0,0,0,19984.16391,19982.66176,19985.66527,18711.95238,18709.63554,18714.27108,185.07502,189.24345,180.90733
1,40.0,50.0,0.481,58.0,0,0,19987.16587,19985.66527,19988.66572,18716.59094,18714.27108,18718.91128,176.74003,180.90733,172.57272
1,50.0,60.0,0.806,100.0,1,1,19990.16583,19988.66572,19991.6672,18721.23091,18718.91128,18723.54864,168.40511,172.57272,164.23689
1,60.0,70.0,1.65113,104.0001,1,1,19993.1711,19991.6672,19994.67877,18725.86528,18723.54864,18728.18163,160.06898,164.23689,155.90228
1,70.0,80.0,0.39013,93.0001,1,1,19996.1881,19994.67877,19997.69693,18730.49554,18728.18163,18732.80486,151.73481,155.90228,147.56462
1,80.0,90.0,1.001,119.0,0,1,19999.20432,19997.69693,20000.70934,18735.11062,18732.80486,18737.41384,143.39195,147.56462,139.21701
1,90.0,100.0,0.6241300000000001,123.0,1,1,20002.21306,20000.70934,20003.71657,18739.71547,18737.41384,18742.01646,135.04073,139.21701,130.86402
1,100.0,110.0,0.8580000000000001,112.0,0,1,20005.22034,20003.71657,20006.72485,18744.31593,18742.01646,18746.61299,126.68656,130.86402,122.50805
1,110.0,120.0,1.48213,226.0001,0,1,20008.23005,20006.72485,20009.73587,18748.90838,18746.61299,18751.20284,118.32887,122.50805,114.1494
1,120.0,130.0,0.8580000000000001,146.0,0,0,20011.242,20009.73587,20012.74813,18753.49684,18751.20284,18755.79084,109.96979,114.1494,105.79018
2,0.0,10.0,0.156,60.0001,0,0,19972.71627,19973.252,19972.18244,18694.15691,18693.104,18695.20694,208.61457,213.473,203.7553
2,10.0,20.0,0.065,29.0,0,0,19971.65068,19972.18244,19971.12118,18696.25417,18695.20694,18697.29869,198.89521,203.7553,194.03428
2,20.0,30.0,0.078,47.0,0,0,19970.59214,19971.12118,19970.06178,18698.34331,18697.29869,18699.39082,189.17332,194.03428,184.31313
2,30.0,40.0,0.10413,45.0,0,0,19969.53007,19970.06178,19968.99699,18700.44121,18699.39082,18701.49447,179.45371,184.31313,174.59506
2,40.0,50.0,0.078,32.0001,0,0,19968.4641,19968.99699,19967.93299,18702.54783,18701.49447,18703.59852,169.73642,174.59506,164.877
2,50.0,60.0,0.052,40.0,0,0,19967.40347,19967.93299,19966.87533,18704.64646,18703.59852,18705.69152,160.01681,164.877,155.15585
2,60.0,70.0,0.28613,31.0001,0,0,19966.34675,19966.87533,19965.81593,18706.73637,18705.69152,18707.78364,150.29489,155.15585,145.4347
2,70.0,80.0,0.19513,82.0001,0,0,19965.28279,19965.81593,19964.74729,18708.83362,18707.78364,18709.88658,140.57535,145.4347,135.7169
2,80.0,90.0,0.35113,135.0,1,1,19964.21048,19964.74729,19963.67345,18710.94126,18709.88658,18711.99639,130.85897,135.7169,126.00116
2,90.0,100.0,,,-2147483648,-2147483648,19963.1363,19963.67345,19962.59915,18713.05174,18711.99639,18714.1071,121.14342,126.00116,116.28567
3,0.0,10.0,0.14313,93.0,0,0,20185.25145,20186.028,20184.47703,18758.38076,18760.983,18755.77839,176.91075,181.109,172.71218
3,10.0,20.0,0.143,95.0,0,0,20183.70466,20184.47703,20182.93427,18753.17743,18755.77839,18750.57944,168.51237,172.71218,164.31035
3,20.0,30.0,0.078,118.0,0,0,20182.16579,20182.93427,20181.39917,18747.98506,18750.57944,18745.3949,160.10576,164.31035,155.89822
3,30.0,40.0,0.03913,135.0,0,0,20180.63484,20181.39917,20179.87319,18742.80647,18745.3949,18740.21725,151.6892,155.89822,147.48019
3,40.0,50.0,0.0521299999999999,33.0001,0,0,20179.1127,20179.87319,20178.35183,18737.62542,18740.21725,18735.0292,143.27256,147.48019,139.06772
3,50.0,60.0,0.0521299999999999,33.0001,0,0,20177.58916,20178.35183,20176.82327,18732.43029,18735.0292,18729.83042,134.86486,139.06772,130.66319
3,60.0,70.0,0.07813,50.0,0,0,20176.05469,20176.82327,20175.28397,18727.23084,18729.83042,18724.63282,126.46182,130.66319,122.25989
3,70.0,80.0,0.11713,41.0001,0,0,20174.51216,20175.28397,20173.74036,18722.03557,18724.63282,18719.43833,118.05767,122.25989,113.85545
4,0.0,10.0,0.039,39.0001,0,0,20074.41386,20075.314,20073.51589,18635.39571,18633.446,18637.34183,224.06265,228.578,219.54532
4,10.0,20.0,0.2339999999999999,43.0001,0,0,20072.61927,20073.51589,20071.72316,18639.28477,18637.34183,18641.22495,215.02636,219.54532,210.5061
4,20.0,30.0,0.42913,92.0,0,0,20070.82591,20071.72316,20069.92584,18643.1661,18641.22495,18645.11194,205.98649,210.5061,201.46946
4,30.0,40.0,0.39013,95.0001,0,0,20069.02485,20069.92584,20068.12482,18647.06061,18645.11194,18649.01025,196.95383,201.46946,192.43843
4,40.0,50.0,0.71513,80.0,1,0,20067.22594,20068.12482,20066.3284,18650.95907,18649.01025,18652.90529,187.92244,192.43843,183.40508
4,50.0,60.0,1.937,128.0001,1,0,20065.43137,20066.3284,20064.53403,18654.84987,18652.90529,18656.79374,178.88689,183.40508,174.36847
4,60.0,70.0,1.235,89.0001,1,1,20063.63659,20064.53403,20062.73926,18658.73769,18656.79374,18660.68251,169.8501,174.36847,165.33209
4,70.0,80.0,2.36613,147.0,1,1,20061.84073,20062.73926,20060.93969,18662.62978,18660.68251,18664.58106,160.81536,165.33209,156.30087
4,80.0,90.0,0.559,112.0001,0,1,20060.037,20060.93969,20059.13348,18666.53508,18664.58106,18668.49059,151.7879,156.30087,147.27573
4,90.0,100.0,1.5766400000000005,311.5726,0,1,20058.22997,20059.13348,20057.32728,18670.44554,18668.49059,18672.39788,142.76332,147.27573,138.24962
4,100.0,110.0,2.67813,432.0,0,1,20056.42471,20057.32728,20055.52159,18674.34797,18672.39788,18676.29619,133.73492,138.24962,129.21952
4,110.0,120.0,1.703,213.0001,0,1,20054.61818,20055.52159,20053.71477,18678.24349,18676.29619,18680.19078,124.70378,129.21952,120.18804
5,0.0,10.0,0.039,39.0001,0,0,20078.52225,20075.888,20081.1558,18632.42755,18631.392,18633.46115,225.81231,229.934,221.68967
5,10.0,20.0,0.338,74.0001,0,0,20083.78826,20081.1558,20086.41926,18634.49348,18633.46115,18635.5252,217.56603,221.68967,213.4413
5,20.0,30.0,0.7411300000000001,114.0,1,1,20089.04924,20086.41926,20091.67866,18636.55735,18635.5252,18637.59095,209.31603,213.4413,205.19076
5,30.0,40.0,1.65113,143.0,1,1,20094.30883,20091.67866,20096.94111,18638.62476,18637.59095,18639.65757,201.06603,205.19076,196.94239
5,40.0,50.0,0.58513,111.0001,1,1,20099.57533,20096.94111,20102.21135,18640.6894,18639.65757,18641.7203,192.81974,196.94239,188.69801
5,50.0,60.0,0.58513,111.0001,1,1,20104.84793,20102.21135,20107.48386,18642.74944,18641.7203,18643.77602,184.57621,188.69801,180.45334
5,60.0,70.0,0.18213,61.0,0,1,20110.11818,20107.48386,20112.74993,18644.80024,18643.77602,18645.8223,176.32886,180.45334,172.2022
5,70.0,80.0,0.66313,77.0001,0,0,20115.37946,20112.74993,20118.00709,18646.84323,18645.8223,18647.86406,168.07385,172.2022,163.94427
5,80.0,90.0,0.13,40.0,0,0,20120.63397,20118.00709,20123.26124,18648.88434,18647.86406,18649.90364,159.81408,163.94427,155.68388
5,90.0,100.0,0.23413,25.0001,0,0,20125.88975,20123.26124,20128.52039,18650.9216,18649.90364,18651.93788,151.55415,155.68388,147.42536
5,100.0,110.0,0.13013,66.0001,0,0,20131.15241,20128.52039,20133.78508,18652.95246,18651.93788,18653.96535,143.29703,147.42536,139.1687
5,110.0,120.0,0.065,71.0,0,0,20136.417,20133.78508,20139.04674,18654.9777,18653.96535,18655.99069,135.03976,139.1687,130.90959
5,120.0,130.0,0.06513,36.0,0,0,20141.67482,20139.04674,20144.30177,18657.00452,18655.99069,18658.01939,126.77857,130.90959,122.64708
5,130.0,140.0,0.104,35.0001,0,0,20146.92815,20144.30177,20149.55453,18659.03477,18658.01939,18660.05016,118.51536,122.64708,114.38364
6,0.0,10.0,0.039,39.0001,0,0,20075.31816,20076.871,20073.76551,18634.74315,18632.297,18637.18755,225.70507,229.78,221.62903
6,10.0,20.0,0.2339999999999999,43.0001,0,0,20072.21302,20073.76551,20070.66071,18639.63154,18637.18755,18642.07644,217.55267,221.62903,213.47679
6,20.0,30.0,0.42913,92.0,0,0,20069.10798,20070.66071,20067.55425,18644.52228,18642.07644,18646.96908,209.40163,213.47679,205.32743
6,30.0,40.0,0.39013,95.0001,0,0,20065.99925,20067.55425,20064.44271,18649.41507,18646.96908,18651.85849,201.25323,205.32743,197.17807
6,40.0,50.0,0.71513,80.0,1,0,20062.88603,20064.44271,20061.3306,18654.30008,18651.85849,18656.74061,193.10188,197.17807,189.02457
6,50.0,60.0,0.97513,96.0,1,0,20059.77578,20061.3306,20058.22095,18659.18048,18656.74061,18661.62009,184.94663,189.02457,180.86855
6,60.0,70.0,0.507,50.0,0,0,20056.66524,20058.22095,20055.10779,18664.05901,18661.62009,18666.49682,176.79038,180.86855,172.71221
6,70.0,80.0,0.79313,208.0001,1,0,20053.54892,20055.10779,20051.98898,18668.9336,18666.49682,18671.36944,168.63397,172.71221,164.55558
6,80.0,90.0,0.8190000000000001,87.0,1,1,20050.42852,20051.98898,20048.86808,18673.80375,18671.36944,18676.23597,160.47648,164.55558,156.39612
6,90.0,100.0,0.24713,52.0,0,1,20047.30837,20048.86808,20045.75011,18678.66574,18676.23597,18681.09271,152.31402,156.39612,148.22971
6,100.0,110.0,0.15613,60.0,0,1,20044.1927,20045.75011,20042.63557,18683.51718,18681.09271,18685.93945,144.14358,148.22971,140.05605
6,110.0,120.0,0.8450000000000001,107.0,0,1,20041.07881,20042.63557,20039.52253,18688.36012,18685.93945,18690.77978,135.96742,140.05605,131.87801
6,120.0,130.0,0.286,102.0,0,1,20037.96668,20039.52253,20036.41125,18693.19919,18690.77978,18695.61912,127.78829,131.87801,123.69872
6,130.0,140.0,0.221,67.0001,0,0,20034.85603,20036.41125,20033.3008,18698.03931,18695.61912,18700.45949,119.60923,123.69872,115.51974
7,0.0,10.0,0.09113,45.0001,0,0,19795.34076,19795.52,19795.16095,18739.03371,18736.714,18741.35434,274.2253,278.651,269.80011
7,10.0,20.0,0.01313,34.0001,0,0,19794.98135,19795.16095,19794.80276,18743.67536,18741.35434,18745.99623,265.37511,269.80011,260.94999
7,20.0,30.0,0.052,62.0001,0,0,19794.62548,19794.80276,19794.44981,18748.31645,18745.99623,18750.63557,256.52448,260.94999,252.09832
7,30.0,40.0,0.442,169.0001,0,0,19794.27495,19794.44981,19794.10008,18752.95412,18750.63557,18755.27267,247.67184,252.09832,243.24536
8,0.0,10.0,0.28613,33.0001,0,0,20162.90671,20162.432,20163.37949,18563.61723,18560.609,18566.62726,246.5285,250.494,242.56413
8,10.0,20.0,0.8971300000000001,28.0001,0,0,20163.8504,20163.37949,20164.31949,18569.63986,18566.62726,18572.6558,238.6015,242.56413,234.64118
8,20.0,30.0,0.52,42.0001,1,0,20164.78814,20164.31949,20165.25776,18575.67431,18572.6558,18578.69468,230.68279,234.64118,226.72591
8,30.0,40.0,1.07913,89.0001,1,0,20165.72813,20165.25776,20166.19905,18581.71668,18578.69468,18584.74014,222.77038,226.72591,218.81602
8,40.0,50.0,1.235,110.0,1,0,20166.67092,20166.19905,20167.14414,18587.76433,18584.74014,18590.78851,214.86233,218.81602,210.9088
8,50.0,60.0,0.33813,54.0,0,0,20167.61894,20167.14414,20168.09553,18593.81298,18590.78851,18596.83805,206.95569,210.9088,203.00324
8,60.0,70.0,0.03913,42.0001,0,0,20168.57187,20168.09553,20169.0459,18599.86642,18596.83805,18602.9008,199.0533,203.00324,195.10769
8,70.0,80.0,0.03913,25.0001,0,0,20169.51737,20169.0459,20169.98605,18605.94004,18602.9008,18608.98298,191.16551,195.10769,187.22586
8,80.0,90.0,0.156,51.0,0,0,20170.45345,20169.98605,20170.9211,18612.02742,18608.98298,18615.07116,183.28722,187.22586,179.34807
8,90.0,100.0,0.36413,96.0001,0,0,20171.38843,20170.9211,20171.85488,18618.11506,18615.07116,18621.15996,175.40899,179.34807,171.47059
8,100.0,110.0,0.169,75.0001,0,0,20172.32034,20171.85488,20172.78468,18624.20501,18621.15996,18627.24937,167.53219,171.47059,163.59312
8,110.0,120.0,0.247,27.0001,0,0,20173.24882,20172.78468,20173.71366,18630.29408,18627.24937,18633.34022,159.6543,163.59312,155.71667
8,120.0,130.0,0.07813,43.0,0,0,20174.17823,20173.71366,20174.64154,18636.38847,18633.34022,18639.43951,151.78063,155.71667,147.84662
8,130.0,140.0,0.07813,43.0,0,0,20175.10459,20174.64154,20175.56841,18642.49169,18639.43951,18645.54333,143.91345,147.84662,139.97996
8,140.0,150.0,0.02613,50.0001,0,0,20176.03344,20175.56841,20176.50012,18648.59619,18645.54333,18651.65203,136.04756,139.97996,132.11767
8,150.0,160.0,0.286,113.0,0,0,20176.96727,20176.50012,20177.4337,18654.71094,18651.65203,18657.77301,128.19022,132.11767,124.26515
8,160.0,170.0,0.065,65.0,0,0,20177.89977,20177.4337,20178.36584,18660.83666,18657.77301,18663.9003,120.34127,124.26515,116.41738
9,0.0,10.0,0.026,56.0001,0,0,20013.41336,20012.448,20014.37942,18534.6876,18531.855,18537.52023,272.81645,276.822,268.81108
9,10.0,20.0,0.026,56.0001,0,0,20015.34516,20014.37942,20016.30957,18540.35193,18537.52023,18543.18175,264.80498,268.81108,260.79724
9,20.0,30.0,0.06513,100.0001,0,0,20017.27356,20016.30957,20018.23805,18546.00963,18543.18175,18548.83549,256.78802,260.79724,252.7775
9,30.0,40.0,0.052,122.0001,0,0,20019.20361,20018.23805,20020.1708,18551.65995,18548.83549,18554.48363,248.76625,252.7775,244.75484
9,40.0,50.0,0.013,63.0,0,0,20021.13792,20020.1708,20022.10327,18557.30711,18554.48363,18560.13097,240.74328,244.75484,236.73156
9,50.0,60.0,0.02613,67.0,0,0,20023.06662,20022.10327,20024.02773,18562.95448,18560.13097,18565.77691,232.71911,236.73156,228.70536
9,60.0,70.0,0.078,71.0001,0,0,20024.98568,20024.02773,20025.93957,18568.59809,18565.77691,18571.41788,224.68999,228.70536,220.67267
9,70.0,80.0,0.10413,48.0,0,0,20026.89062,20025.93957,20027.84006,18574.23792,18571.41788,18577.05988,216.65485,220.67267,212.63799
9,80.0,90.0,0.09113,51.0001,0,0,20028.78985,20027.84006,20029.74194,18579.88367,18577.05988,18582.70925,208.62251,212.63799,204.60883
9,90.0,100.0,0.06513,64.0001,0,0,20030.69477,20029.74194,20031.64675,18585.53446,18582.70925,18588.35719,200.59507,204.60883,196.57935
9,100.0,110.0,0.07813,41.0,0,0,20032.59691,20031.64675,20033.54428,18591.17753,18588.35719,18593.99559,192.56154,196.57935,188.54146
9,110.0,120.0,0.07813,41.0,0,0,20034.49007,20033.54428,20035.43546,18596.81223,18593.99559,18599.62829,184.52001,188.54146,180.49807
9,120.0,130.0,,,-2147483648,-2147483648,20036.38089,20035.43546,20037.32675,18602.44341,18599.62829,18605.25724,176.47548,180.49807,172.45208
9,130.0,140.0,0.403,69.0001,0,0,20038.27284,20037.32675,20039.21892,18608.07042,18605.25724,18610.88361,168.42829,172.45208,164.40449
10,0.0,10.0,0.09113,44.0,0,0,19888.77458,19890.236,19887.31604,18856.27284,18855.313,18857.23149,238.84267,243.527,234.1572
