dh,from,to,Au,Cu,Au:shell,Cu:shell
1,0.0,10.0,0.07813,50.0,0,0
1,10.0,20.0,0.091,33.0,0,0
1,20.0,30.0,0.988,97.0001,0,0
1,30.0,40.0,0.364,66.0,0,0
1,40.0,50.0,0.481,58.0,0,0
1,50.0,60.0,0.806,100.0,1,1
1,60.0,70.0,1.65113,104.0001,1,1
1,70.0,80.0,0.39013,93.0001,1,1
1,80.0,90.0,1.001,119.0,0,1
1,90.0,100.0,0.6241300000000001,123.0,1,1
1,100.0,110.0,0.8580000000000001,112.0,0,1
1,110.0,120.0,1.48213,226.0001,0,1
1,120.0,130.0,0.8580000000000001,146.0,0,0
2,0.0,10.0,0.156,60.0001,0,0
2,10.0,20.0,0.065,29.0,0,0
2,20.0,30.0,0.078,47.0,0,0
2,30.0,40.0,0.10413,45.0,0,0
2,40.0,50.0,0.078,32.0001,0,0
2,50.0,60.0,0.052,40.0,0,0
2,60.0,70.0,0.28613,31.0001,0,0
2,70.0,80.0,0.19513,82.0001,0,0
2,80.0,90.0,0.35113,135.0,1,1
2,90.0,100.0,,,-2147483648,-2147483648
3,0.0,10.0,0.14313,93.0,0,0
3,10.0,20.0,0.143,95.0,0,0
3,20.0,30.0,0.078,118.0,0,0
3,30.0,40.0,0.03913,135.0,0,0
3,40.0,50.0,0.0521299999999999,33.0001,0,0
3,50.0,60.0,0.0521299999999999,33.0001,0,0
3,60.0,70.0,0.07813,50.0,0,0
3,70.0,80.0,0.11713,41.0001,0,0
4,0.0,10.0,0.039,39.0001,0,0
4,10.0,20.0,0.2339999999999999,43.0001,0,0
4,20.0,30.0,0.42913,92.0,0,0
4,30.0,40.0,0.39013,95.0001,0,0
4,40.0,50.0,0.71513,80.0,1,0
4,50.0,60.0,1.937,128.0001,1,0
4,60.0,70.0,1.235,89.0001,1,1
4,70.0,80.0,2.36613,147.0,1,1
4,80.0,90.0,0.559,112.0001,0,1
4,90.0,100.0,1.5766400000000005,311.5726,0,1
4,100.0,110.0,2.67813,432.0,0,1
4,110.0,120.0,1.703,213.0001,0,1
5,0.0,10.0,0.039,39.0001,0,0
5,10.0,20.0,0.338,74.0001,0,0
5,20.0,30.0,0.7411300000000001,114.0,1,1
5,30.0,40.0,1.65113,143.0,1,1
5,40.0,50.0,0.58513,111.0001,1,1
5,50.0,60.0,0.58513,111.0001,1,1
5,60.0,70.0,0.18213,61.0,0,1
