dh,depth,azm,incl
1,0,32.713,-56.488
1,10,32.763,-56.488
1,20,32.894,-56.462
1,30,32.975,-56.487
1,40,32.906,-56.456
1,50,32.869,-56.456
1,60,32.956,-56.481
1,70,33.094,-56.431
1,80,33.181,-56.544
1,90,33.156,-56.638
1,100,33.163,-56.656
1,110,33.244,-56.7
1,120,33.287,-56.712
2,0,333.023,-76.313
2,10,333.061,-76.394
2,20,333.137,-76.475
2,30,333.15,-76.4
2,40,333.156,-76.325
2,50,333.194,-76.4
2,60,333.188,-76.475
2,70,333.099,-76.4
2,80,333.025,-76.312
2,90,333.025,-76.3
3,0,196.638,-57.1
3,10,196.55,-57.113
3,20,196.506,-57.206
3,30,196.481,-57.331
3,40,196.362,-57.331
3,50,196.325,-57.213
3,60,196.444,-57.163
3,70,196.55,-57.187
4,0,335.212,-64.538
4,10,335.237,-64.644
4,20,335.2,-64.713
4,30,335.169,-64.575
4,40,335.237,-64.563
4,50,335.244,-64.637
4,60,335.213,-64.65
4,70,335.238,-64.631
4,80,335.206,-64.512
4,90,335.2,-64.469
4,100,335.181,-64.538
4,110,335.112,-64.575
5,0,68.524,-55.512
5,10,68.587,-55.55
5,20,68.588,-55.594
5,30,68.525,-55.594
5,40,68.594,-55.55
5,50,68.656,-55.513
5,60,68.743,-55.556
5,70,68.787,-55.644
5,80,68.763,-55.694
5,90,68.806,-55.694
5,100,68.901,-55.656
5,110,68.975,-55.656
5,120,68.919,-55.706
5,130,68.863,-55.725
6,0,327.6,-54.575
6,10,327.569,-54.619
6,20,327.594,-54.6
6,30,327.581,-54.562
6,40,327.475,-54.6
6,50,327.494,-54.644
6,60,327.488,-54.65
6,70,327.406,-54.65
6,80,327.35,-54.656
6,90,327.306,-54.706
6,100,327.294,-54.794
6,110,327.256,-54.85
6,120,327.25,-54.881
6,130,327.275,-54.875
7,0,355.588,-62.275
7,10,355.563,-62.25
7,20,355.612,-62.256
7,30,355.687,-62.288
8,0,8.988,-52.487
8,10,8.906,-52.444
8,20,8.819,-52.357
8,30,8.844,-52.3
8,40,8.856,-52.256
8,50,8.906,-52.25
8,60,8.969,-52.225
8,70,8.849,-52.063
8,80,8.725,-51.969
8,90,8.738,-51.988
8,100,8.7,-51.963
8,110,8.663,-51.988
8,120,8.681,-51.944
8,130,8.619,-51.869
8,140,8.65,-51.881
8,150,8.694,-51.788
8,160,8.65,-51.7
9,0,18.813,-53.238
9,10,18.838,-53.231
9,20,18.813,-53.294
9,30,18.856,-53.344
9,40,18.925,-53.35
9,50,18.856,-53.356
9,60,18.788,-53.406
9,70,18.657,-53.481
9,80,18.575,-53.444
9,90,18.637,-53.375
9,100,18.637,-53.45
9,110,18.563,-53.537
9,120,18.556,-53.556
9,130,18.588,-53.587
10,0,303.287,-69.513
10,10,303.325,-69.588
10,20,303.299,-69.644
10,30,303.269,-69.662
10,40,303.35,-69.75
10,50,303.418,-69.825
10,60,303.304,-69.763
