x,y,z,Au:shell,Cu:shell
20048.5009,18527.5436,278.7000,0,0
20051.9211,18518.1466,278.7000,0,0
20055.3413,18508.7497,278.7000,0,0
20048.5009,18527.5436,288.7000,0,0
20051.9211,18518.1466,288.7000,0,0
20055.3413,18508.7497,288.7000,0,0
20058.7615,18499.3528,288.7000,0,0
20048.5009,18527.5436,298.7000,0,0
20051.9211,18518.1466,298.7000,0,0
20055.3413,18508.7497,298.7000,0,0
20057.8978,18530.9638,268.7000,0,0
20061.3180,18521.5668,268.7000,0,0
20064.7382,18512.1699,268.7000,0,0
20067.2947,18534.3840,268.7000,0,0
20070.7149,18524.9871,268.7000,0,0
20074.1351,18515.5901,268.7000,0,0
20077.5553,18506.1932,268.7000,0,0
20076.6916,18537.8042,268.7000,0,0
20080.1118,18528.4073,268.7000,0,0
20083.5320,18519.0103,268.7000,0,0
20086.9522,18509.6134,268.7000,0,0
20089.5088,18531.8275,268.7000,0,0
20092.9290,18522.4305,268.7000,0,0
20054.4776,18540.3607,278.7000,0,0
20057.8978,18530.9638,278.7000,0,0
20061.3180,18521.5668,278.7000,0,0
20064.7382,18512.1699,278.7000,0,0
20068.1584,18502.7730,278.7000,0,0
20063.8745,18543.7809,278.7000,0,0
20067.2947,18534.3840,278.7000,0,0
20070.7149,18524.9871,278.7000,0,0
20074.1351,18515.5901,278.7000,0,0
20077.5553,18506.1932,278.7000,0,0
20073.2714,18547.2011,278.7000,0,0
20076.6916,18537.8042,278.7000,0,0
20080.1118,18528.4073,278.7000,0,0
20083.5320,18519.0103,278.7000,0,0
20086.9522,18509.6134,278.7000,0,0
20086.0886,18541.2244,278.7000,0,0
20089.5088,18531.8275,278.7000,0,0
20092.9290,18522.4305,278.7000,0,0
20096.3492,18513.0336,278.7000,0,0
20098.9057,18535.2477,278.7000,0,0
20054.4776,18540.3607,288.7000,0,0
20057.8978,18530.9638,288.7000,0,0
20061.3180,18521.5668,288.7000,0,0
20064.7382,18512.1699,288.7000,0,0
20068.1584,18502.7730,288.7000,0,0
20063.8745,18543.7809,288.7000,0,0
20067.2947,18534.3840,288.7000,0,0
20070.7149,18524.9871,288.7000,0,0
20074.1351,18515.5901,288.7000,0,0
20077.5553,18506.1932,288.7000,0,0
20080.9755,18496.7963,288.7000,0,0
20073.2714,18547.2011,288.7000,0,0
20076.6916,18537.8042,288.7000,0,0
20080.1118,18528.4073,288.7000,0,0
20083.5320,18519.0103,288.7000,0,0
20086.9522,18509.6134,288.7000,0,0
20090.3724,18500.2165,288.7000,0,0
20082.6684,18550.6213,288.7000,0,0
20086.0886,18541.2244,288.7000,0,0
20089.5088,18531.8275,288.7000,0,0
20092.9290,18522.4305,288.7000,0,0
20096.3492,18513.0336,288.7000,0,0
20098.9057,18535.2477,288.7000,0,0
20102.3259,18525.8507,288.7000,0,0
20054.4776,18540.3607,298.7000,0,0
20057.8978,18530.9638,298.7000,0,0
20061.3180,18521.5668,298.7000,0,0
