DHID,FROM,TO,CU,ELEM_A,ELEM_B,ELEM_C,ELEM_D,DENSITY
DDH-0001,81.66,82.42,1.883,,0,308.27,0.395,3.372
DDH-0001,82.42,83,3.0099,1.925,114.967,1137.83,,4.556
DDH-0001,83,84,4.1806,2.44,205.467,2119.41,4.741,4.39
DDH-0001,84,85,3.2041,2.682,239.959,2906.29,6.466,4.589
DDH-0001,85,86,2.391,2.055,220.492,2023.57,6.562,4.452
DDH-0001,86,87,2.392,,189.766,2329.93,7.368,
DDH-0001,87,88,2.1908,2.437,174.916,1386.61,7.892,4.531
DDH-0001,88,89,1.6939,2.073,164.023,1597.58,4.826,
DDH-0001,89,90,,2.412,201.851,1619.39,6.38,4.598
DDH-0001,90,91,3.4112,2.918,217.528,1578.18,7.527,4.298
DDH-0001,91,92,3.0437,3.153,234.691,,6.321,4.321
DDH-0001,92,93,4.1478,1.947,180.115,1654.81,4.296,4.649
DDH-0001,93,93.3,,4.387,199.249,3258.14,4.725,4.345
DDH-0001,93.3,94,4.1118,4.938,279.514,2969.54,9.408,4.467
DDH-0001,94,94.45,6.1513,3.369,255.862,2194.59,8.536,4.502
DDH-0001,94.45,95,3.6054,2.9,401.386,1311.27,8.939,4.128
DDH-0001,95,96.22,2.9796,3.399,360.726,847.11,8.707,4.362
DDH-0001,96.22,97.1,,3.035,299.082,,9.474,4.393
DDH-0001,97.1,97.35,2.0933,2.438,229.104,3894.6,7.268,4.602
DDH-0001,97.35,98.08,2.423,2.541,200.721,2830.77,2.897,4.668
DDH-0001,98.08,98.34,2.6013,2.79,166.999,2851.89,1.91,4.719
DDH-0001,98.34,99.15,4.7987,1.444,124.417,1385.77,1.438,4.691
DDH-0001,99.15,99.6,5.4064,1.801,133.237,2022.23,2.154,4.71
DDH-0001,99.6,100,3.4954,0.974,146.623,1330.19,5.394,4.472
DDH-0001,100,101.07,2.7846,1.46,178.109,1541.24,6.951,4.435
DDH-0001,101.07,102,3.1143,0.836,173.401,1462.12,5.244,4.48
DDH-0001,102,102.82,3.4449,0.985,146.077,3024.49,5.947,4.514
DDH-0001,102.82,103.76,2.9082,0.842,187.413,7291.64,6.017,4.746
DDH-0001,103.76,104.76,1.8239,1.582,152.916,519.74,5.436,4.274
DDH-0001,104.76,105.22,2.7397,,167.478,790.33,5.648,
DDH-0001,105.22,106,2.1666,0.828,121.298,539.22,4.096,4.452
DDH-0001,106,107,1.7294,1.204,91.484,269.4,7.954,4.395
DDH-0001,107,107.79,3.177,0.974,68.917,230.85,8.442,4.197
DDH-0001,107.79,108.93,1.9259,0.704,,423.37,3.303,4.676
DDH-0001,108.93,109.4,1.505,2.189,,1560.22,3.009,4.803
DDH-0001,109.4,110,1.9355,1.935,81.662,751.33,4.246,4.267
DDH-0001,110,111,2.1244,1.443,100.007,500.94,,4.328
DDH-0001,111,112,3.4131,1.568,96.551,732.69,8.073,4.193
DDH-0001,112,112.9,4.0531,0.552,55.495,442.87,5.671,4.287
DDH-0001,112.9,113.45,2.4884,1.56,91.841,289.01,8.52,4.556
DDH-0001,113.45,113.78,2.0584,,0,307.91,3.207,4.619
DDH-0001,113.78,114,5.2445,0.698,54.433,173.49,2.967,4.622
DDH-0001,114,115,4.2285,1.698,78.08,192.86,,4.614
DDH-0001,115,115.5,2.4017,1.446,46.145,308.17,4.02,4.386
DDH-0001,115.5,116.3,3.4836,0.28,25.478,192.64,1.386,4.129
DDH-0001,116.3,116.85,1.8419,0.974,26.549,173.39,3.414,4.377
DDH-0001,116.85,118,3.0947,1.209,32.641,269.87,0.9,4.268
DDH-0001,118,118.71,4.2728,1.567,43.592,250.62,2.312,4.291
DDH-0001,118.71,119,8.4365,0.699,28.863,231.36,3.836,4.181
DDH-0001,119,120,2.7703,0.835,39.026,212,1.018,4.388
DDH-0001,120,121,3.0519,0.699,36.463,173.36,0.735,4.292
DDH-0001,121,122,3.04,0.83,44.884,289.11,6.447,4.265
DDH-0001,122,123,2.205,,49.778,192.61,0.465,4.343
DDH-0001,123,124,3.0938,1.449,46.894,192.8,1.66,4.54
DDH-0001,124,125,2.7783,1.446,81.637,250.52,0.94,4.403
DDH-0001,125,126,2.8008,0.978,32.522,154.27,0.982,4.258
DDH-0001,126,127,2.1228,0.622,136.267,211.9,3.456,4.475
DDH-0001,127,128,3.0977,,92.696,212.09,3.83,4.063
DDH-0001,128,129,2.3283,0.702,93.638,250.48,4.569,4.157
DDH-0001,129,130,2.8701,0.83,68.128,212.05,2.302,4.191
DDH-0001,130,131,2.5873,0.425,42.645,211.83,1.671,4.391
DDH-0001,131,132.22,4.8586,0.702,31.636,385.5,1.111,4.177
DDH-0001,132.22,133.95,3.1866,,,173.33,1.773,4.511
DDH-0001,133.95,134.8,4.7858,0.828,29.258,154.11,0.346,4.319
DDH-0001,134.8,136.1,4.9237,0.561,37.76,134.89,0.652,4.522
DDH-0001,136.1,137,3.3729,0.836,43.575,154.01,2.414,4.357
DDH-0001,137,138.15,3.7249,1.119,35.229,134.78,2.306,4.228
DDH-0001,138.15,139,5.0694,1.105,31.471,134.92,0.604,4.209
DDH-0001,139,140,4.2839,1.452,,134.67,0.464,4.242
DDH-0001,140,140.65,4.0147,0.426,27.748,134.97,0.438,4.357
DDH-0001,140.65,141.25,4.4337,0.987,38.648,192.86,0.6,4.387
DDH-0001,141.25,142,3.7483,1.442,43.384,308.04,0.564,4.186
DDH-0001,142,143,3.6063,1.115,52.054,327.05,1.111,4.288
DDH-0001,143,144.15,3.6904,1.108,56.679,230.95,1.863,4.296
DDH-0001,144.15,145.54,4.9441,1.701,92.382,385.72,1.864,4.291
DDH-0001,145.54,146,3.027,1.461,57.169,307.88,1.445,4.484
