DHID,EASTING,NORTHING,ELEVATION,DHLENGTH
DDH-0001,820.945,12243.879,1210.841,155.55
DDH-0002,943.485,12212.356,1310.959,242.59
DDH-0003,943.482,12211.984,1311.67,302.08
DDH-0004,899.313,12245.518,1227.702,155.4
DDH-0005,742.768,12192.952,1155.945,151.05
DDH-0006,661.785,12190.704,1156.782,153.4
DDH-0007,623.468,12188.119,1158.79,139.51
DDH-0008,899.932,12243.652,1228.619,126.5
DDH-0009,743.592,12193.756,1156.178,138.8
DDH-0010,660.527,12192.26,1158.054,153.65
DDH-0011,1106.619,12165.753,1063.809,147.3
DDH-0012,702.09,12191.749,1156.715,146.31
DDH-0013,974.233,12287.653,1267.644,174.74
DDH-0014,1062.984,12146.785,1062.558,114.66
DDH-0015,1063.775,12147.205,1063.574,158.36
DDH-0016,982.382,12124.249,1303.281,308.3
DDH-0017,941.937,12213.087,1312.685,215.19
DDH-0018,1106.464,12167.425,1065.613,125.66
DDH-0019,1106.401,12165.696,1065.69,143.11
DDH-0020,1022.343,12173.864,1281.623,277.34
DDH-0021,782.826,12243.04,1206.458,104.67
DDH-0022,899.913,12232.024,1180.199,164.92
DDH-0023,701.64,12193.714,1158.541,150.41
DDH-0024,1023.577,12172.932,1281.874,261.14
DDH-0025,1022.622,12175.034,1282.645,329.19
DDH-0026,782.606,12242.342,1204.449,170.7
DDH-0027,702.758,12191.414,1156.35,181.26
DDH-0028,622.891,12209.451,1202.154,200.7
DDH-0029,857.785,12245.656,1218.195,107.15
DDH-0030,856.559,12243.62,1217.647,160.7
DDH-0031,821.114,12244.776,1212.299,109.05
DDH-0032,782.375,12243.409,1205.369,147.9
DDH-0033,660.567,12192.009,1157.525,158.75
DDH-0034,857.114,12241.764,1217.069,288.15
DDH-0035,822.04,12243.728,1210.949,139.74
DDH-0036,983.408,12124.114,1303.668,311.54
DDH-0037,742.544,12192.726,1158.212,153.55
