DHID,FROM,TO,x,y,z,startx,starty,startz,endx,endy,endz,CU,ELEM_A,ELEM_B,ELEM_C,ELEM_D,DENSITY,GEOCODE
DDH-0001,0,5,820.9410528,12244.73598,1208.492476,820.945,12243.879,1210.841,820.9357836,12245.5952,1206.144771,,,,,,,D
DDH-0001,5,10,820.9291926,12246.45665,1203.797888,820.9357836,12245.5952,1206.144771,820.9212797,12247.32033,1201.451831,,,,,,,D
DDH-0001,10,15,820.912045,12248.18625,1199.106601,820.9212797,12247.32033,1201.451831,820.9014884,12249.0544,1196.762202,,,,,,,D
DDH-0001,15,20,820.88961,12249.92477,1194.418636,820.9014884,12249.0544,1196.762202,820.8764097,12250.79738,1192.075906,,,,,,,D
DDH-0001,20,25,820.8618876,12251.67222,1189.734015,820.8764097,12250.79738,1192.075906,820.8460438,12252.54928,1187.392965,,,,,,,D
DDH-0001,25,30,820.8288781,12253.42856,1185.05276,820.8460438,12252.54928,1187.392965,820.8103908,12254.31007,1182.713402,,,,,,,D
DDH-0001,30,35,820.7905816,12255.19381,1180.374894,820.8103908,12254.31007,1182.713402,820.7694508,12256.07977,1178.037239,,,,,,,D
DDH-0001,35,40,820.7469983,12256.96795,1175.70044,820.7694508,12256.07977,1178.037239,820.7232241,12257.85835,1173.364499,,,,,,,D
DDH-0001,40,45,820.7003787,12258.74935,1171.028778,820.7232241,12257.85835,1173.364499,820.6807123,12259.63934,1168.692643,,,,,,,D
DDH-0001,45,50,820.6642251,12260.52832,1166.356097,820.6807123,12259.63934,1168.692643,820.650917,12261.41628,1164.019144,,,,,,,D
DDH-0001,50,55,820.6407881,12262.30322,1161.681788,820.650917,12261.41628,1164.019144,820.6338384,12263.18914,1159.344034,,,,,,,C
DDH-0001,55,60,820.6300679,12264.07404,1157.005886,820.6338384,12263.18914,1159.344034,820.6294767,12264.95792,1154.667349,,,,,,,D
DDH-0001,60,65,820.6320646,12265.84077,1152.328425,820.6294767,12264.95792,1154.667349,820.6378318,12266.7226,1149.989121,,,,,,,C
DDH-0001,65,70,820.6467782,12267.6034,1147.649439,820.6378318,12266.7226,1149.989121,820.6589037,12268.48317,1145.309384,,,,,,,C
DDH-0001,70,75,820.6742085,12269.36191,1142.968961,820.6589037,12268.48317,1145.309384,820.6926923,12270.23962,1140.628173,,,,,,,C
DDH-0001,75,80,820.7143553,12271.11629,1138.287025,820.6926923,12270.23962,1140.628173,820.7391974,12271.99193,1135.945521,,,,,,,C
DDH-0001,80,85,820.7667799,12272.86709,1133.603871,820.7391974,12271.99193,1135.945521,820.7966645,12273.74234,1131.262281,3.162132335,2.418023256,153.3254072,1772.433114,4.169275362,4.246766467,OR1
DDH-0001,85,90,820.828851,12274.61768,1128.920755,820.7966645,12273.74234,1131.262281,820.8633394,12275.49311,1126.579294,2.166925,2.24425,190.2096,1791.416,6.6056,4.527,OR1
DDH-0001,90,95,820.9001298,12276.36862,1124.2379,820.8633394,12275.49311,1126.579294,820.939222,12277.24422,1121.896575,3.879152128,3.18035,244.73374,1999.4685,6.98095,4.39894,OR1
DDH-0001,95,100,820.9806161,12278.1199,1119.555321,820.939222,12277.24422,1121.896575,821.024312,12278.99566,1117.21414,3.476104854,2.47542,233.976714,1791.172549,5.53595,4.536114,OR1
DDH-0001,100,105,821.0703096,12279.87151,1114.873034,821.024312,12278.99566,1117.21414,821.118609,12280.74744,1112.532006,2.783155,1.159844538,168.180328,2610.5082,5.927706,4.484993697,OR1
