DHID,SampleID,X,Y,Z,True,Estimate
DDH-0001,0,820.76678,12272.867,1133.6039,3.16213,3.4158221
DDH-0001,1,820.82885,12274.618,1128.9208,2.16692,3.233277
DDH-0001,2,820.90013,12276.369,1124.2379,3.87915,2.927128
DDH-0001,3,820.98062,12278.12,1119.5553,3.4761,2.9705816
DDH-0001,4,821.07031,12279.872,1114.873,2.78315,2.9647539
DDH-0001,5,821.16921,12281.623,1110.1911,2.11922,2.8211861
DDH-0001,6,821.27732,12283.376,1105.5094,3.32309,2.7687238
DDH-0001,7,821.39463,12285.128,1100.8281,3.36205,2.5665444
DDH-0001,8,821.52115,12286.881,1096.1471,2.8338,2.3787159
DDH-0001,9,821.65687,12288.634,1091.4665,2.64394,2.2368125
DDH-0001,10,821.8018,12290.388,1086.7863,3.81606,2.0075095
DDH-0001,11,821.95594,12292.142,1082.1065,4.26564,1.8230232
DDH-0001,12,822.11812,12293.896,1077.4271,4.02675,1.691887
DDH-0001,13,822.28146,12295.65,1072.7477,2.99028,1.5142105
DDH-0001,14,822.4448,12297.404,1068.0684,0.6629,1.351131
DDH-0002,15,942.46833,12296.181,1148.8528,2.80099,4.37034
DDH-0002,16,942.43733,12298.479,1144.4124,2.02107,4.554445
DDH-0002,17,942.40664,12300.778,1139.9723,1.84575,4.2247617
DDH-0002,18,942.37614,12303.077,1135.5324,0.78706,3.8239318
DDH-0002,19,942.34564,12305.376,1131.0925,0.99201,3.4360035
DDH-0002,20,942.31514,12307.676,1126.6526,1.97673,3.005909
DDH-0002,21,942.28464,12309.975,1122.2127,2.29357,2.596463
DDH-0002,22,942.25414,12312.274,1117.7729,2.116,2.2159483
DDH-0002,23,942.22364,12314.573,1113.333,2.96691,2.2341426
DDH-0002,24,942.19314,12316.873,1108.8931,5.22956,2.0867405
DDH-0002,25,942.16264,12319.172,1104.4532,5.73614,2.4049032
DDH-0002,26,942.13214,12321.471,1100.0133,5.29393,2.3409349
DDH-0002,27,942.10899,12323.216,1096.6435,4.28847,2.3674644
DDH-0003,28,942.7432,12267.005,1106.4666,3.09871,4.2441472
DDH-0003,29,942.72446,12268.646,1101.7438,4.06188,4.1452777
DDH-0003,30,942.70581,12270.322,1097.033,2.9709,4.042914
DDH-0003,31,942.68756,12272.021,1092.3306,2.57726,3.9393667
DDH-0003,32,942.67005,12273.733,1087.6328,3.34616,3.8116136
DDH-0003,33,942.65327,12275.458,1082.9397,4.72253,3.4598687
DDH-0003,34,942.63722,12277.195,1078.2512,3.5217,3.454993
DDH-0003,35,942.62191,12278.945,1073.5675,3.46739,3.3380305
DDH-0003,36,942.60734,12280.707,1068.8885,6.24327,3.1572323
DDH-0003,37,942.5935,12282.483,1064.2143,4.90342,2.9588452
DDH-0003,38,942.58039,12284.271,1059.5449,1.30497,2.6990898
DDH-0003,39,942.56802,12286.071,1054.8804,1.74283,2.4240762
DDH-0003,40,942.55639,12287.884,1050.2208,2.04643,2.138518
DDH-0003,41,942.54549,12289.71,1045.5661,2.31939,1.8606454
DDH-0003,42,942.53532,12291.549,1040.9163,1.33011,1.6041168
DDH-0003,43,942.52589,12293.4,1036.2716,1.5765,1.3771283
DDH-0003,44,942.51718,12295.263,1031.6318,2.43227,1.1828438
DDH-0003,45,942.50871,12297.13,1026.9936,2.3705,1.0205981
