DHID,SampleID,X,Y,Z,True,Estimate
DDH-0001,0,820.76678,12272.867,1133.6039,1,0.58259318
DDH-0001,1,820.82885,12274.618,1128.9208,0,0.81735213
DDH-0001,2,820.90013,12276.369,1124.2379,1,0.50124036
DDH-0001,3,820.98062,12278.12,1119.5553,1,0.44438681
DDH-0001,4,821.07031,12279.872,1114.873,0,0.5855226
DDH-0001,5,821.16921,12281.623,1110.1911,0,0.57543353
DDH-0001,6,821.27732,12283.376,1105.5094,1,0.39566449
DDH-0001,7,821.39463,12285.128,1100.8281,1,0.40806357
DDH-0001,8,821.52115,12286.881,1096.1471,0,0.60384834
DDH-0001,9,821.65687,12288.634,1091.4665,0,0.62172815
DDH-0001,10,821.8018,12290.388,1086.7863,1,0.46697658
DDH-0001,11,821.95594,12292.142,1082.1065,1,0.50345117
DDH-0001,12,822.11812,12293.896,1077.4271,1,0.39127052
DDH-0001,13,822.28146,12295.65,1072.7477,0,0.48725015
DDH-0001,14,822.4448,12297.404,1068.0684,0,0.37657335
DDH-0002,15,942.46833,12296.181,1148.8528,0,0.16580515
DDH-0002,16,942.43733,12298.479,1144.4124,0,0.10319845
DDH-0002,17,942.40664,12300.778,1139.9723,0,0.087240099
DDH-0002,18,942.37614,12303.077,1135.5324,0,0.079895665
DDH-0002,19,942.34564,12305.376,1131.0925,0,0.077715162
DDH-0002,20,942.31514,12307.676,1126.6526,0,0.10512797
DDH-0002,21,942.28464,12309.975,1122.2127,0,0.16107917
DDH-0002,22,942.25414,12312.274,1117.7729,0,0.26898359
DDH-0002,23,942.22364,12314.573,1113.333,0,0.46142108
DDH-0002,24,942.19314,12316.873,1108.8931,1,0.45157545
DDH-0002,25,942.16264,12319.172,1104.4532,1,0.65658291
DDH-0002,26,942.13214,12321.471,1100.0133,1,0.7552459
DDH-0002,27,942.10899,12323.216,1096.6435,1,0.76673702
DDH-0003,28,942.7432,12267.005,1106.4666,1,0.55137728
DDH-0003,29,942.72446,12268.646,1101.7438,1,0.53900362
DDH-0003,30,942.70581,12270.322,1097.033,0,0.72818451
DDH-0003,31,942.68756,12272.021,1092.3306,0,0.74200186
DDH-0003,32,942.67005,12273.733,1087.6328,1,0.62317134
DDH-0003,33,942.65327,12275.458,1082.9397,1,0.7510112
DDH-0003,34,942.63722,12277.195,1078.2512,1,0.80138603
