DHID,FROM,TO,GEOCODE
DDH-0001,0.0,48.47,D
DDH-0001,48.47,55.9,C
DDH-0001,55.9,60.4,D
DDH-0001,60.4,81.66,C
DDH-0001,81.66,115.5,OR1
DDH-0001,115.5,130.0,OR2
DDH-0001,130.0,146.9,OR3
DDH-0001,146.9,150.0,OR5
DDH-0001,150.0,155.55,OR4
DDH-0002,0.0,21.93,B
DDH-0002,21.93,76.9,D
DDH-0002,76.9,92.56,B
DDH-0002,92.56,114.55,D
DDH-0002,114.55,183.68,C
DDH-0002,183.68,199.18,OR1
DDH-0002,199.18,215.9,OR2
DDH-0002,215.9,225.5,OR3
DDH-0002,225.5,242.59,OR5
DDH-0003,0.0,39.56,B
DDH-0003,39.56,40.2,A
DDH-0003,40.2,42.41,B
DDH-0003,42.41,70.6,D
DDH-0003,70.6,72.33,
DDH-0003,72.33,120.37,
DDH-0003,120.37,121.35,
DDH-0003,121.35,132.65,D
DDH-0003,132.65,208.64,C
DDH-0003,208.64,214.32,F
DDH-0003,214.32,220.65,OR2
DDH-0003,220.65,226.61,OR2
DDH-0003,226.61,231.9,OR2
DDH-0003,231.9,258.84,OR3
DDH-0003,258.84,302.08,N
DDH-0004,0.0,32.4,D
DDH-0004,32.4,33.9,A
DDH-0004,33.9,36.85,D
DDH-0004,36.85,85.68,C
DDH-0004,85.68,87.88,F
DDH-0004,87.88,88.3,OR1
DDH-0004,88.3,97.04,OR1
DDH-0004,97.04,147.0,OR2
DDH-0004,147.0,155.4,OR5
DDH-0005,0.0,4.7,D
DDH-0005,4.7,19.63,B
DDH-0005,19.63,23.85,D
DDH-0005,23.85,24.65,B
DDH-0005,24.65,40.87,D
DDH-0005,40.87,59.55,C
DDH-0005,59.55,60.13,F
DDH-0005,60.13,62.75,OR1
DDH-0005,62.75,70.0,OR2
DDH-0005,70.0,127.6,OR3
DDH-0005,127.6,133.6,OR4
DDH-0005,133.6,138.33,A
DDH-0005,138.33,151.05,
DDH-0006,0.0,1.0,B
DDH-0006,1.0,13.94,C
DDH-0006,13.94,17.35,D
DDH-0006,17.35,30.5,OR2
DDH-0006,30.5,31.3,OR5
DDH-0006,31.3,34.16,OR2
DDH-0006,34.16,42.5,OR3
DDH-0006,42.5,46.0,OR2
DDH-0006,46.0,49.0,OR3
DDH-0006,49.0,54.46,OR4
DDH-0006,54.46,55.75,OR1
DDH-0006,55.75,57.5,OR2
DDH-0006,57.5,63.1,B
DDH-0006,63.1,73.35,OR2
DDH-0006,73.35,75.0,B
DDH-0006,75.0,76.45,
DDH-0006,76.45,78.92,B
DDH-0006,78.92,79.65,OR1
DDH-0006,79.65,87.28,OR2
DDH-0006,87.28,89.8,A
DDH-0006,89.8,92.73,OR1
DDH-0006,92.73,93.12,A
DDH-0006,93.12,98.73,
DDH-0006,98.73,101.6,A
DDH-0006,101.6,108.35,OR1
DDH-0006,108.35,121.35,
DDH-0006,121.35,132.95,OR4
DDH-0006,132.95,153.4,N
DDH-0007,0.0,41.0,C
DDH-0007,41.0,53.87,A
DDH-0007,53.87,88.95,B
DDH-0007,88.95,89.02,F
DDH-0007,89.02,95.25,OR1
DDH-0007,95.25,97.0,OR3
DDH-0007,97.0,99.65,OR3
DDH-0007,99.65,100.7,OR3
DDH-0007,100.7,109.1,OR5
DDH-0007,109.1,118.15,OR4
DDH-0007,118.15,120.66,L
DDH-0007,120.66,123.18,OR4
DDH-0007,123.18,131.3,OR4
DDH-0007,131.3,139.51,L
DDH-0008,0.0,43.78,
DDH-0008,43.78,43.96,A
DDH-0008,43.96,52.53,C
DDH-0008,52.53,53.05,A
DDH-0008,53.05,78.13,C
DDH-0008,78.13,80.0,F
DDH-0008,80.0,81.17,
DDH-0008,81.17,82.98,OR1
DDH-0008,82.98,83.4,B
DDH-0008,83.4,86.0,OR3
DDH-0008,86.0,94.1,OR2
DDH-0008,94.1,101.0,OR2
DDH-0008,101.0,109.0,OR3
DDH-0008,109.0,126.5,OR4
DDH-0009,0.0,5.95,D
DDH-0009,5.95,10.36,B
DDH-0009,10.36,45.06,D
DDH-0009,45.06,61.26,C
DDH-0009,61.26,64.59,F
DDH-0009,64.59,73.1,OR1
DDH-0009,73.1,97.2,OR3
DDH-0009,97.2,103.93,A
DDH-0009,103.93,113.34,OR3
DDH-0009,113.34,119.0,OR4
DDH-0009,119.0,125.8,OR5
DDH-0009,125.8,135.0,OR4
DDH-0009,135.0,137.71,OR5
DDH-0010,0.0,62.7,C
DDH-0010,62.7,72.85,E
DDH-0010,72.85,75.45,OR2
DDH-0010,75.45,79.0,E
DDH-0010,79.0,93.0,D
DDH-0010,93.0,99.5,B
DDH-0010,99.5,111.0,C
DDH-0010,111.0,112.0,A
DDH-0010,112.0,114.0,F
DDH-0010,114.0,114.6,B
DDH-0010,114.6,122.0,OR1
DDH-0010,122.0,133.0,N
DDH-0010,133.0,139.0,OR1
DDH-0010,139.0,146.75,OR3
DDH-0010,146.75,153.65,OR4
DDH-0011,0.0,21.35,B
DDH-0011,21.35,97.15,D
DDH-0011,97.15,98.35,B
DDH-0011,98.35,110.15,OR1
DDH-0011,110.15,125.15,M
DDH-0011,125.15,133.0,P
DDH-0011,133.0,140.0,M
DDH-0011,140.0,145.05,N
DDH-0012,0.0,17.7,
DDH-0012,17.7,59.52,C
DDH-0012,59.52,61.32,OR3
DDH-0012,61.32,63.48,OR1
DDH-0012,63.48,67.11,OR2
DDH-0012,67.11,77.0,
DDH-0012,77.0,81.12,OR2
DDH-0012,81.12,83.16,OR3
DDH-0012,83.16,91.0,OR2
DDH-0012,91.0,97.8,OR3
DDH-0012,97.8,101.37,A
DDH-0012,101.37,127.32,OR3
DDH-0012,127.32,131.09,A
DDH-0012,131.09,136.42,OR4
DDH-0012,136.42,146.31,N
DDH-0013,0.0,2.5,B
DDH-0013,2.5,40.5,D
DDH-0013,40.5,90.0,B
DDH-0013,90.0,98.2,D
DDH-0013,98.2,100.42,F
DDH-0013,100.42,126.0,OR3
DDH-0013,126.0,135.0,OR4
DDH-0013,135.0,141.0,OR5
DDH-0013,141.0,153.0,OR4
DDH-0013,153.0,156.65,OR5
DDH-0013,156.65,167.0,OR4
DDH-0013,167.0,170.0,OR5
DDH-0013,170.0,174.74,OR4
DDH-0016,0.0,12.7,D
DDH-0016,12.7,72.8,B
DDH-0016,72.8,96.55,
DDH-0016,96.55,132.68,B
DDH-0016,132.68,175.7,D
DDH-0016,175.7,181.23,B
DDH-0016,181.23,186.04,D
DDH-0016,186.04,190.32,B
DDH-0016,190.32,222.8,D
DDH-0016,222.8,260.57,B
DDH-0016,260.57,261.04,F
DDH-0016,261.04,262.0,OR2
DDH-0016,262.0,263.0,OR1
DDH-0016,263.0,266.63,OR2
DDH-0016,266.63,273.0,OR3
DDH-0016,273.0,275.62,OR2
DDH-0016,275.62,277.5,
DDH-0016,277.5,281.24,OR3
DDH-0016,281.24,302.04,OR5
DDH-0016,302.04,308.3,OR5
DDH-0017,0.0,19.65,B
DDH-0017,19.65,70.26,D
DDH-0017,70.26,92.35,B
DDH-0017,92.35,127.24,D
DDH-0017,127.24,129.9,C
DDH-0017,129.9,131.44,A
DDH-0017,131.44,149.3,C
DDH-0017,149.3,152.0,OR1
DDH-0017,152.0,157.03,OR2
DDH-0017,157.03,173.39,OR2
DDH-0017,173.39,180.2,OR3
DDH-0017,180.2,184.0,OR2
DDH-0017,184.0,200.44,OR3
DDH-0017,200.44,205.0,OR5
DDH-0017,205.0,215.19,OR4
DDH-0018,0.0,16.7,B
DDH-0018,16.7,73.56,D
DDH-0018,73.56,84.6,B
DDH-0018,84.6,86.6,OR1
DDH-0018,86.6,90.6,OR2
DDH-0018,90.6,108.6,OR3
DDH-0018,108.6,113.2,OR2
DDH-0018,113.2,114.76,B
DDH-0018,114.76,115.15,OR4
DDH-0018,115.15,125.66,N
DDH-0019,0.0,13.25,B
DDH-0019,13.25,14.2,
DDH-0019,14.2,16.85,B
DDH-0019,16.85,25.4,D
DDH-0019,25.4,27.0,B
DDH-0019,27.0,81.2,D
DDH-0019,81.2,82.8,B
DDH-0019,82.8,83.26,
DDH-0019,83.26,89.26,OR3
DDH-0019,89.26,95.26,OR2
DDH-0019,95.26,101.2,A
DDH-0019,101.2,103.2,OR2
DDH-0019,103.2,107.1,A
DDH-0019,107.1,115.1,OR5
DDH-0019,115.1,125.1,OR5
DDH-0019,125.1,128.15,A
DDH-0019,128.15,137.5,N
DDH-0019,137.5,143.11,A
DDH-0020,0.0,22.09,
DDH-0020,22.09,56.6,B
DDH-0020,56.6,101.68,D
DDH-0020,101.68,102.62,A
DDH-0020,102.62,112.57,C
