X,Y,Z,Rock,Land,Cd,Cu,Pb,Co,Cr,Ni,Zn
2.386,3.077,0,3,3,1.74,25.72,77.36,9.32,38.32,21.32,92.56
2.544,1.972,0,2,2,1.335,24.76,77.88,10,40.2,29.72,73.56
2.807,3.347,0,3,2,1.61,8.88,30.8,10.6,47,21.4,64.8
4.308,1.933,0,2,3,2.15,22.7,56.4,11.92,43.52,29.72,90
4.383,1.081,0,5,3,1.565,34.32,66.4,16.32,38.52,26.2,88.4
3.244,4.519,0,5,3,1.145,31.28,72.4,3.5,40.4,22.04,75.2
3.925,3.785,0,5,3,0.894,27.44,60,15.08,30.52,21.76,72.4
2.116,3.498,0,1,3,0.525,66.12,141,4.2,25.4,9.92,72.08
1.842,0.989,0,1,3,0.24,22.32,52.4,4.52,27.96,11.32,56.4
1.709,1.843,0,3,3,0.625,18.72,41.6,12.08,33.32,16.88,75.6
3.8,4.578,0,1,3,3.873,22.24,46,9.84,46,21.64,143.2
2.699,1.199,0,1,1,1.425,8.76,56.4,7.56,40.8,15.72,66.8
3.033,4.384,0,5,3,0.455,21.36,38.36,2.36,19.24,7.08,37.88
4.232,1.588,0,2,1,1.025,5.88,52.8,8.84,28.32,17.4,47.6
4.75,1.369,0,2,3,0.775,17.6,32.92,11.96,35.6,23.76,70.8
2.341,4.135,0,1,3,0.62,18.52,42,5.32,31,10.8,46.8
2.827,3.667,0,5,3,0.4,3.96,21.48,4.68,20.52,6.68,25.2
3.043,4.692,0,1,3,0.625,8.24,29.92,3.53,25.2,11.32,31.32
1.687,1.174,0,1,3,0.355,21.56,46.8,3.64,18.4,6.64,39.56
2.235,2.386,0,5,3,1.585,40.88,88.68,12.44,40.56,25.08,114.28
3.122,1.695,0,2,3,1.885,35.92,72.88,12.92,44,34.72,120.28
2.219,2.774,0,2,2,1.3,8.8,56.52,13.04,32.48,31.52,71.76
3.185,2.092,0,2,3,1.575,22.12,43.68,11.2,35.72,35,90.68
3.514,5.119,0,1,2,4.191,15.48,33.36,9.28,52,21.76,145.6
4.459,2.624,0,2,1,1.485,11.16,34.64,6.84,19,15.84,82.8
4.339,1.473,0,5,3,0.915,39.8,64.8,10.8,32.72,18.6,86
4.92,1.417,0,2,3,0.705,15.76,39.52,8.56,30.28,21.96,66.4
3.648,3.78,0,2,3,0.62,48.8,63.2,14.16,28.56,24.44,78
2.916,4.916,0,1,1,0.885,4.52,37.16,6.28,27.92,13.88,46.8
3.127,1.691,0,2,3,1.96,47.12,93.92,13.4,45.2,35.12,123.84
3.441,4.719,0,5,2,3.155,48.8,55.6,9.28,62.4,24.28,151.6
3.336,4.613,0,5,3,1.28,24.96,49.2,5.92,38.52,23.28,81.6
3.649,2.674,0,2,1,1.785,9.65,58.4,7.44,23.72,17.72,58
3.875,4.924,0,5,3,1.895,25.28,35.6,11.48,52,26.72,141.6
2.612,4.114,0,1,3,0.57,33.8,58.4,4.88,27.32,7.44,47.6
2.34,4.141,0,1,3,0.54,17.4,36.88,5.48,35.72,10.6,53.2
3.811,1.318,0,2,3,0.75,16.4,39.8,12.6,36.2,26.6,80.8
3.661,3.788,0,2,3,0.875,65.2,69.6,14.64,28.88,20.8,76.4
4.34,3.736,0,3,2,2.818,29.12,46,11.24,35.04,21.96,80.8
2.972,0.988,0,3,2,3.805,112.04,229.56,9.16,67.04,28.88,219.32
2.286,3.068,0,3,3,0.605,28.8,56.6,9.68,27.32,12.8,67.16
1.813,2.116,0,3,3,1.003,21.2,48.8,11.32,33.48,20.56,110
3.379,4.308,0,5,3,1.9,10.28,36.44,8.52,46.4,24.8,83.6
1.965,2.807,0,3,3,0.895,60.72,89.68,12.6,41.6,24.16,102.44
3.559,4.009,0,3,2,4.02,21.08,52,6.16,60.8,21.96,101.6
2.267,4.189,0,1,3,0.56,12.72,39.64,6.64,35.12,11.12,57.2
2.965,1.002,0,3,2,1.39,57.2,129.2,10.36,45.6,24.6,149.2
3.12,1.469,0,3,1,1.91,11.6,69.16,2.12,31.12,8,50.4
3.454,4.654,0,5,2,1.07,10.88,29.88,7.8,38.24,19.92,70.8
1.071,1.567,0,3,2,0.795,9.92,37.48,9.96,29.08,15.28,65.6
3.573,3.542,0,5,3,0.55,50.4,77.2,9.56,26.6,16,76
3.331,4.609,0,5,3,1.255,49.6,80.4,7,42.8,25.44,101.6
3.541,1.739,0,3,4,2.055,10.8,43.6,6.32,29.8,20.8,59.36
3.303,3.963,0,3,3,1.22,51.6,80.8,11,34.04,20.32,90
3.316,2.987,0,5,3,0.975,30.1,48.8,14.6,33,23.6,83.2
1.879,1.171,0,1,3,0.465,23.32,54.8,4,24.64,9.16,44.4
1.122,2.267,0,2,3,1.145,14.8,47.6,11.08,37.08,31.56,74.4
4.423,1.078,0,5,3,1.525,22,46.8,16.92,38.6,26.8,87.6
1.241,1.155,0,1,1,1.455,7.28,36.52,4.52,20.2,12.68,39.6
1.706,1.848,0,3,3,1.12,20.72,41.2,11.92,34.84,19.96,83.2
3.26,5.42,0,2,3,1.819,17.6,35.8,11.72,38.04,28.6,82.4
4.081,0.897,0,5,3,0.495,14.32,32.76,11.2,22.4,10.92,50.4
3.077,2.926,0,2,2,2.12,12.32,42.4,10.12,35.32,21.52,64.8
3.406,4.741,0,5,2,2.15,28.96,42.8,7.32,48,19.72,120.8
3.699,3.8,0,2,3,0.65,35.56,80.8,11.6,27.44,19.28,74
1.619,2.883,0,3,3,0.84,22.84,50.4,6.8,30.56,16.08,58.8
3.196,1.814,0,2,1,3.925,47.4,84.16,12.92,25.6,26.12,92.36
3.447,4.733,0,5,2,1.98,27.12,39.92,8.4,40.8,17.68,108
3.009,4.738,0,1,3,0.45,12.44,34,3.53,25.64,10,39.4
3.452,4.736,0,5,2,2.96,38.96,70.4,7.2,45.2,15,148.4
2.908,1.263,0,1,3,1.685,9.4,34.56,9.84,31.28,14.72,84.32
4.578,1.512,0,2,3,1.305,17.5,38.96,13.52,45.52,27.2,77.6
3.512,5.124,0,1,2,4.227,16.88,34.64,9.64,48.4,22.92,136.8
3.312,2.991,0,5,3,0.98,22.7,41.6,12.52,32.6,19.4,72.8
2.159,2.041,0,2,3,1.57,17.44,49.6,10.44,37.72,28.32,81.6
4.742,1.381,0,2,3,0.86,15.12,32.84,11.88,32.72,23.48,63.6
3.592,4.027,0,3,2,2.17,12.52,37.68,10.84,55.2,29.48,74.4
3.152,3.272,0,2,3,1.56,34,76.4,12.8,42.6,23.52,94
4.781,1.375,0,2,3,0.81,12.08,36.28,10.88,27.44,20.84,58.8
2.319,2.405,0,5,3,1.71,56.24,104.68,12.84,43.4,26.96,125.4
3.617,2.084,0,2,3,0.845,27.92,78.8,12.8,33.72,26.2,79.6
2.278,0.929,0,1,3,0.357,13.24,35.4,4.08,19.36,6.56,46.8
3.792,2.695,0,2,1,1.535,5.88,55.2,6.76,20.32,13.4,52.4
4.113,2.7,0,2,1,1.285,13.64,84.4,1.55,8.72,7.16,65.2
3.043,4.698,0,1,3,1.82,7.6,27.04,3.92,27.36,10.44,39.8
3.271,2.16,0,5,3,0.945,37.4,59.04,13.32,37.8,32.6,104.36
1.433,1.525,0,5,3,1.605,13.48,49.6,7.36,67.6,16.2,75.2
3.184,2.098,0,2,3,2.23,24.6,44.88,11.92,37.8,37.72,96.6
