X,Y,Z,THICKNESS
-6275.0,33300.0,0.5,2.39
-6151.0,37011.0,0.5,2.47
-4169.0,36659.0,0.5,2.54
-6034.0,37022.0,0.5,2.61
-5829.0,36020.0,0.5,2.76
-5871.0,36129.0,0.5,3.13
-6050.0,36885.0,0.5,2.66
-5850.0,36459.0,0.5,3.51
-5908.0,36570.0,0.5,2.33
-6264.0,37188.0,0.5,3.19
-5985.0,36609.0,0.5,2.88
-4621.0,37841.0,0.5,2.85
-6312.0,37134.0,0.5,3.05
-5869.0,37067.0,0.5,2.73
-6136.0,36071.0,0.5,3.25
-4048.0,36940.0,0.5,2.37
-5936.0,36662.0,0.5,3.0
-5900.0,36604.0,0.5,2.95
-5915.0,36576.0,0.5,2.33
-3765.0,37120.0,0.5,2.16
-5982.0,36975.0,0.5,2.64
-4237.0,36593.0,0.5,2.96
-6200.0,36899.0,0.5,2.66
-5719.0,35853.0,0.5,2.3
-3834.0,37770.0,0.5,2.54
-6267.0,37008.0,0.5,3.04
-5494.0,37355.0,0.5,1.36
-5875.0,36905.0,0.5,2.25
-4032.0,36937.0,0.5,2.21
-5480.0,37590.0,0.5,3.01
-5612.0,37295.0,0.5,2.77
-4549.0,37785.0,0.5,2.88
-6147.0,37455.0,0.5,3.01
-4747.0,37259.0,0.5,2.77
-5356.0,37802.0,0.5,3.01
-5854.0,36719.0,0.5,3.21
-4955.0,36451.0,0.5,3.2
-5190.0,37520.0,0.5,2.47
-3963.0,37560.0,0.5,2.89
-3010.0,36975.0,0.5,2.69
-5845.0,36569.0,0.5,2.66
-5400.0,37448.0,0.5,3.17
-4861.0,37602.0,0.5,2.99
-6307.0,37244.0,0.5,1.93
-5851.0,35916.0,0.5,2.95
-6000.0,36765.0,0.5,3.56
-5985.0,36500.0,0.5,3.32
-5887.0,36761.0,0.5,3.19
-5827.0,37026.0,0.5,2.9
-3203.0,37226.0,0.5,2.08
-5813.0,36521.0,0.5,3.19
-5393.0,37071.0,0.5,3.11
-5161.0,37735.0,0.5,2.75
-4683.0,37162.0,0.5,3.0
-5962.0,36797.0,0.5,2.58
-5769.0,37024.0,0.5,3.41
-6004.0,36534.0,0.5,3.48
-4200.0,37449.0,0.5,2.94
-4019.0,37010.0,0.5,2.51
-3516.0,37646.0,0.5,2.52
