Easting,Northing,Elevation,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
524.8431844,6969.185671,0.5,165,0.88,206.7,1.5,20,124.6,0.3,1.18,2.64,0.64,39.7,13.8,13.6,1.3,25.67,4.05,2.9,0.1,0.11,12,0.07,0.08,20.2,14.4,1.36,1370,2.48,0.012,0.2,26.1,0.16,35.7,10,2,8.3,3,0.04,8.33,2.8,0.5,0.1,78.6,0.05,0.02,7.2,0.011,0.18,1.4,27,1.3,11.6,126.1,6.7
521.984534,6965.907288,0.5,160,0.75,40.2,0.2,20,417,0.5,0.34,10.24,2.32,27.3,9.5,14.6,1.06,21.05,2.19,2,0.1,0.07,67,0.04,0.07,15.6,17.6,2.52,487,3.61,0.01,0.21,48.1,0.168,18.65,10,2,6.8,4,0.06,2.59,2.8,1.1,0.2,246.4,0.05,0.02,4.1,0.007,0.19,1.5,26,0.2,13.96,275.4,2.4
528.1179642,6964.171841,0.5,132,0.27,7.7,0.6,20,352.4,0.4,0.07,14.9,3.75,16.8,6.5,10.6,0.57,14.02,1.02,0.6,0.1,0.03,73,0.02,0.04,11.4,5.6,7.03,182,2.52,0.011,0.11,49.7,0.107,12.55,10,2,2.9,3,0.02,1.47,1.8,0.9,0.1,92.3,0.05,0.02,1.3,0.003,0.19,0.8,17,0.1,15.39,393.5,1
526.2626463,6964.88215,0.5,366,0.7,13.7,0.8,20,368.1,0.7,0.18,11.11,2.75,28.2,9.8,15.5,1.35,35.99,2.04,1.8,0.1,0.06,161,0.02,0.15,18.5,14.5,3.52,272,8.16,0.008,0.1,93.4,0.288,15.32,10,2,8.5,4,0.05,3.42,3.5,2.1,0.1,132.1,0.05,0.02,3,0.004,0.38,2.4,49,0.1,20.53,395.1,2.8
522.2575483,6961.554945,0.5,198,1.4,24.8,1.1,20,150.9,0.7,2.71,0.92,7.2,57.8,23.1,20.1,3.3,69.49,2.3,3.4,0.1,0.06,14,0.03,0.14,32.8,28.6,0.51,359,5.34,0.036,0.63,130.1,0.072,11.56,10,3,15.8,3,0.11,1.25,2.4,1,0.4,59.9,0.05,0.09,11.5,0.044,0.26,6.4,36,4.4,16.18,746.9,2.1
524.1600685,6962.053154,0.5,238,1.89,18.5,1.5,20,98.3,1.2,0.47,2.97,94.4,30.4,21.6,27.8,1.18,199.5,4.28,3.9,0.1,0.09,55,0.04,0.08,15.1,43.3,0.95,466,12.73,0.005,0.18,200.6,0.073,18.52,10,2,6.4,2,0.05,2.08,5.7,1.3,0.1,142.3,0.05,0.03,5.6,0.005,0.43,5.8,60,0.1,29.22,1509.4,4.2
519.9376098,6961.594762,0.5,886,1.92,1060.8,5.5,20,80.7,1,11.47,0.12,0.43,51.2,26.9,42.2,6.42,434.79,21.77,3.2,0.1,0.07,47,0.1,0.1,23.9,28.6,0.46,426,15.81,0.009,0.47,50.7,0.352,26.34,10,2,14.6,1,1.49,4.67,3,2.8,1.1,22.3,0.05,0.13,7.5,0.029,0.46,8.2,133,0.8,16.54,141.1,3.2
520.517968,6967.824195,0.5,238,1.37,93.8,11.8,20,139.4,0.8,12.01,7.35,1.56,30.7,9.6,21.5,5.3,26.77,1.93,3.5,0.1,0.03,52,0.05,0.15,18.5,17.9,2.94,405,1.48,0.026,0.95,43.7,0.132,30.1,10,2,15.1,2,0.09,2.22,2.5,2.5,0.4,154.3,0.05,0.1,3.9,0.03,0.41,2.7,38,0.6,13.23,179.9,1.8
510.4296934,6956.140588,0.5,226,1.57,51.3,0.2,20,166.9,1,1.39,1.25,9.4,52.5,49.4,23.4,6.57,60.63,3.07,3.7,0.1,0.03,29,0.02,0.09,31,37.2,0.77,791,6.15,0.023,0.58,166.4,0.102,18.1,10,2,12.4,4,0.06,1.8,2.8,1.3,0.4,63.6,0.05,0.06,9.9,0.027,0.26,8.2,38,5.1,17.25,817.5,1.8
504.2172532,6953.972388,0.5,224,1.76,44.5,0.9,20,172.3,1.6,1.4,0.95,6.36,53.7,50.1,29.6,6.57,56.89,3.1,3.8,0.1,0.03,37,0.04,0.09,30.5,41.5,0.74,639,4.89,0.024,0.69,158.8,0.102,16.62,10,2,12.8,2,0.08,1.51,2.9,1.6,0.4,55.2,0.05,0.06,10.7,0.026,0.22,7.5,34,4.4,19.91,766.2,1.8
500.4346909,6980.336169,0.5,74,0.54,9.1,0.2,20,12.3,1.1,1.68,0.43,0.19,76.8,3.2,10.5,9.15,8.9,0.62,2.3,0.1,0.02,5,0.02,0.03,48.2,19.8,0.16,113,0.82,0.018,0.66,3.3,0.112,24.92,10,2,5.2,1,0.02,0.23,1.4,0.1,0.6,33.2,0.05,0.02,34.6,0.025,0.07,19.8,15,4.8,5.5,18.2,0.2
503.3615354,6982.66347,0.5,73,1.78,39.6,1.2,20,105.5,1.6,1.33,0.37,0.25,61.4,10.4,27.4,6.58,25.22,2.79,5.4,0.1,0.03,5,0.03,0.14,34.7,30.8,0.53,293,1.51,0.009,0.64,28.1,0.117,24.62,10,2,19.7,1,0.02,2.69,3.6,0.4,1.1,68.1,0.05,0.02,16,0.05,0.28,6.4,37,3.2,11.09,86.5,1.3
499.4695163,6975.918984,0.5,75,0.75,3.6,0.2,20,17.5,1.4,2.41,0.59,0.22,79.2,2.8,12.2,9.01,9.82,0.71,2.9,0.1,0.02,13,0.02,0.04,49.7,21,0.17,108,0.82,0.022,0.88,2.7,0.141,30.77,10,2,6.1,1,0.02,0.25,1.3,0.1,0.8,35.9,0.05,0.02,23.9,0.025,0.08,18.1,18,7.9,5.86,23.6,0.1
499.9880036,6974.03925,0.5,34,0.48,2.7,0.2,20,12.8,1,1.51,0.45,0.09,73.1,2.5,11.7,6.6,9.83,0.6,2.1,0.1,0.02,5,0.02,0.03,49.6,18.3,0.11,83,0.78,0.019,0.87,2.7,0.13,14.94,10,2,3.8,1,0.02,0.14,1.1,0.1,0.7,23.2,0.05,0.02,29.1,0.026,0.04,16.4,16,7.7,5.01,12.2,0.2
