Hole ID,U,V,Z,Thickness,Au [g/t],Ag [g/t],Cu [%],Zn [%],Rock Type 
67,20341.5,-36,0.5,3.8463,2.1599,6.17,2.82,2.24,20
68,20344,-66,0.5,1.6264,2.0505,9.94,7.39,2.38,20
69,20303,-47,0.5,6.6606,2.8523,2.4,0.22,0,20
71,20305,-96,0.5,7.4953,3.0541,4.11,0.7,0.04,20
72,20260,-100,0.5,13.9744,3.4971,6.86,2.57,0.19,20
73,20200,-62.5,0.5,12.8204,2.1263,13.37,2.47,0.48,20
74,20206,-91,0.5,6.9138,4.9728,5.49,2.76,0.83,20
75,20201.5,-110,0.5,19.2926,3.5161,18.51,6.19,1.88,20
76,20253,-65,0.5,5.5665,2.1871,12,6.14,1.08,20
76,20152,-115,0.5,8.6846,4.9376,0,0,0,20
77,20143.5,-220,0.5,7.1685,2.7962,3.7,2.63,0.46,20
78,20200.5,-160,0.5,8.2161,5.3051,16.8,6.87,1.89,20
79,20255,-169,0.5,14.6455,4.1001,9.26,6.04,0.41,20
80,20302.5,-158.5,0.5,13.8948,2.7004,21.26,4.4,1.04,20
81,20353,-138.5,0.5,4.4279,2.6031,18.51,2.78,1.27,20
82,20402,-132,0.5,2.5177,1.0682,40.46,2.17,0.27,20
83,20258,-336,0.5,2.851,1.0567,4.11,2.04,0.17,21
85,20163.5,-316,0.5,4.3455,2.1373,7.54,8.32,1.11,21
86,20115,-353,0.5,4.1264,1.2537,0.34,0.04,0.02,21
87,20260,-215,0.5,12.603,4.4083,3.43,6.96,0.34,20
88,20315,-243,0.5,10.4394,1.0039,1.71,1.21,0.07,20
89,20354.5,-218,0.5,5.8972,0.2137,27.77,9.13,0.86,20
90,20203.5,-211,0.5,9.6259,4.5842,17.83,4.23,0.6,20
91,20355.5,-392,0.5,1.2383,0,0,0,0,21
92,20375,-28,0.5,2.321,2.9545,1.37,0.45,0.35,20
94,20178,-361,0.5,2.784,1.0132,7.54,5.51,0.62,21
95,20307.5,-309,0.5,3.6711,0.0844,3.43,0.14,0.01,21
96,20180,-547,0.5,1.5488,0.9643,0.69,0.04,0.01,21
97,20253,-499,0.5,0.8883,3.9574,7.2,7.82,0.18,21
98,20238,-462,0.5,1.0083,1.5391,19.2,12.46,0.5,21
102,20332,-455,0.5,1.3319,1.5516,0,0,0,21
103,20262,-443,0.5,0.6688,2.784,51.77,12.64,3.65,21
108,20245.5,-28.5,0.5,9.068,2.7328,1.93,0.02,0.02,20
109,20225.6,-46.5,0.5,10.7987,2.3361,11.84,2.09,0.76,20
110,20332.5,-128.5,0.5,4.4493,1.9264,28.64,5.08,4.08,20
111,20277,-159,0.5,9.165,4.5098,11.38,4.84,0.64,20
112,20229.5,-128,0.5,10.4708,4.6383,9.96,6.06,1.38,20
113,20185,-140.5,0.5,4.9937,5.998,30.45,6.63,1.67,20
114,20375.5,-204,0.5,10.6639,2.5709,0,0,0,20
115,20337,-192,0.5,10.1366,2.818,0,0.1,0,20
116,20284.5,-193,0.5,9.5409,2.5267,10.32,4.83,0.52,20
117,20216.5,-228.5,0.5,8.6044,4.5401,6.28,4.49,0.2,20
118,20165,-251,0.5,6.3449,3.7825,6.15,5.01,0.86,20
119,20189.5,-304,0.5,8.4727,4.2568,10.29,3.12,0.23,21
120,20339.5,-239,0.5,8.5825,2.0902,6.19,1.66,0.05,20
121,20138,-388,0.5,3.4466,1.2417,0,0,0,21
123,20191,-375,0.5,4.8114,2.5368,0,0.7,0,21
125,20374.5,-83,0.5,3.0868,2.5226,0,0.3,0,20
126,20385,-274,0.5,4.9573,0.9059,0,0,0,20
127,20285,-354,0.5,1.6694,0.0691,0,0,0,21
128,20273,-406,0.5,0.6659,1.9327,0,10,0,21
129,20181,-491,0.5,1.0265,2.1162,0,6.7,0,21
132,20250,-232,0.5,10.7208,4.2035,4.35,4.29,0.21,20
133,20175.5,-158.5,0.5,6.9698,4.1627,27.29,6.72,1.01,20
134,20281.5,-236.5,0.5,11.0025,3.1546,2.42,0.33,5.48,20
135,20196,-193,0.5,6.8906,4.4308,6.68,4.83,1.45,20
136,20226.6,-157.5,0.5,8.9339,6.1381,5.69,4.85,0.6,20
137,20234.5,-183.5,0.5,9.8297,5.63,7.86,4.43,0.57,20
140,20214,-362,0.5,2.5243,1.7289,0,0.7,2.6,21
140,20212.5,-277,0.5,6.8513,3.2189,6.86,7.55,0.29,20
141,20368,-316,0.5,2.9048,0.0036,1.18,0.62,0.05,21
107,20245,-568,0.5,2.1094,1.6096,5.83,5.42,0.57,21
133,20176,-163,0.5,6.4421,4.1404,16.76,5.31,1.02,20
134,20281,-235,0.5,11.3264,3.226,2.67,1.39,4.06,20
136,20227,-157,0.5,9.0468,6.1446,2.06,1.11,0.18,20
137,20235,-183,0.5,9.7801,5.657,7.37,4.75,0.64,20
139,20235,-305,0.5,6.3295,3.0791,3.62,2.61,0.27,21
