x,y,z
1.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.007071067811865532e+02,1.992928932188134468e+02,0.000000000000000000e+00
1.014142135623730923e+02,1.985857864376268935e+02,0.000000000000000000e+00
1.021213203435596455e+02,1.978786796564403687e+02,0.000000000000000000e+00
1.028284271247461845e+02,1.971715728752538155e+02,0.000000000000000000e+00
1.007071067811865532e+02,2.007071067811865532e+02,0.000000000000000000e+00
1.014142135623730923e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.021213203435596455e+02,1.992928932188134468e+02,0.000000000000000000e+00
1.028284271247461845e+02,1.985857864376268935e+02,0.000000000000000000e+00
1.035355339059327378e+02,1.978786796564403687e+02,0.000000000000000000e+00
1.014142135623730923e+02,2.014142135623731065e+02,0.000000000000000000e+00
1.021213203435596455e+02,2.007071067811865532e+02,0.000000000000000000e+00
1.028284271247461845e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.035355339059327378e+02,1.992928932188134468e+02,0.000000000000000000e+00
1.042426406871192910e+02,1.985857864376268935e+02,0.000000000000000000e+00
1.021213203435596455e+02,2.021213203435596313e+02,0.000000000000000000e+00
1.028284271247461845e+02,2.014142135623731065e+02,0.000000000000000000e+00
1.035355339059327378e+02,2.007071067811865532e+02,0.000000000000000000e+00
1.042426406871192910e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.049497474683058300e+02,1.992928932188134468e+02,0.000000000000000000e+00
1.028284271247461845e+02,2.028284271247461845e+02,0.000000000000000000e+00
1.035355339059327378e+02,2.021213203435596313e+02,0.000000000000000000e+00
1.042426406871192910e+02,2.014142135623731065e+02,0.000000000000000000e+00
1.049497474683058300e+02,2.007071067811865532e+02,0.000000000000000000e+00
1.056568542494923832e+02,2.000000000000000000e+02,0.000000000000000000e+00
