SeisThick(m),Devonian(m),Wabiskaw(m)
0.508,61.792,186.998
0.309,59.759,162.15
0.304,43.73,152.952
0.286,71.165,158.679
0.182,67.942,150.726
0.135,67.525,155.78
0.079,69.876,171.712
0.094,88.843,171.285
0.1,89.324,157.105
0.058,84.399,152.251
0.051,87.84,150.911
0.062,84.958,152.565
0.069,85.394,144.465
0.067,88.14,142.882
0.122,72.693,149.507
0.205,63.162,149.887
0.212,62.859,148.886
0.325,78.999,160.238
0.391,78.929,177.497
0.35,57.012,175.586
0.315,65.657,191.872
0.365,71.529,189.942
0.239,86.165,185.814
0.241,86.801,194.806
0.226,77.707,201.603
0.148,62.794,186.643
0.182,59.619,182.346
0.207,68.134,182.22
0.178,48.124,181.246
0.26,32.471,187.637
0.394,24.343,198.043
0.36,12.037,194.404
0.419,14.239,201.995
0.516,19.901,193.724
0.552,22.232,200.974
0.552,29.692,193.584
0.561,43.415,198.799
0.561,34.565,198.138
0.744,47.438,200.976
0.658,62.118,197.422
0.502,62.18,180.429
0.508,65.057,170.986
0.385,71.573,152.74
0.376,71.643,157.387
0.396,87.574,152.983
0.48,85.695,158.067
0.515,110.276,177.44
0.473,100.113,177.589
0.39,106.951,179.993
0.348,120.892,177.293
0.38,134.752,178.655
0.308,135.072,162.555
0.31,130.624,159.507
0.28,117.26,152.785
0.396,118.522,186.737
0.329,102.365,200.881
0.271,118.373,189.523
0.2,124.478,197.336
0.079,119.5,200.899
0.079,100.662,180.869
0.079,103.925,179.29
0.065,110.181,188.636
0.078,106.894,171.136
0.089,121.295,178.723
0.083,103.636,186.321
0.184,106.4,184.532
0.109,114.269,172.901
0.152,84.438,180.155
0.189,104.488,171.536
0.135,114.092,174.682
0.123,106.323,161.071
0.122,80.472,168.466
0.112,67.324,152.914
0.108,85.477,150.529
0.078,66.954,150.101
0.069,62.143,150.408
0.066,52.591,142.392
0.063,39.556,142.533
0.078,45.955,142.309
0.074,27.523,142.295
0.078,48.95,142.27
0.08,56.345,142.37
0.087,68.627,144.17
0.103,62.529,144.63
0.166,55.403,146.437
0.197,47.783,153.626
0.098,50.336,171.331
0.079,55.301,178.487
0.068,62.045,184.626
0.079,86.615,211.411
0.104,85.421,219.527
0.097,109.114,203.547
0.079,98.687,202.062
0.103,86.459,213.011
0.079,114.717,219.399
0.046,102.935,202.063
0.04,89.154,188.43
0.04,77.847,186.08
0.062,106.116,205.567
0.045,115.11,201.719
0.043,143.475,200.232
0.04,114.673,200.868
0.051,130.024,219.446
0.073,113.09,230.029
0.078,108.935,227.283
0.092,86.373,235.492
0.072,96.561,247.103
0.069,70.589,240.865
0.064,54.638,227.457
0.11,79.087,227.001
0.137,89.844,228.062
0.226,86.896,214.726
0.191,102.661,215.806
0.191,135.459,217.267
0.23,129.232,217.965
0.267,135.728,213.71
0.259,140.635,200.88
0.201,140.62,200.842
0.213,144.893,207.091
0.201,136.853,200.865
0.084,127.236,198.788
0.079,115.095,181.578
0.108,123.45,174.807
0.095,125.748,171.123
0.212,118.217,170.537
0.331,125.052,180.098
0.308,135.754,200.296
0.287,144.925,219.103
0.304,152.462,235.541
0.296,152.085,253.794
0.328,166.24,268.637
0.401,152.269,263.221
0.425,158.415,282.969
0.363,165.685,293.959
0.369,178.803,308.018
0.348,176.894,321.356
0.34,171.835,343.946
0.35,157.804,306.247
0.393,144.574,280.359
0.349,135.711,272.005
0.368,137.686,283.54
0.331,124.637,265.267
0.371,113.742,242.134
0.357,114.87,246.201
0.413,115.384,229.351
0.474,132.051,219.142
0.506,125.438,218.8
0.648,140.941,222.293
0.682,135.724,227.682
0.62,142.125,229.227
0.56,140.833,234.787
0.68,130.698,231.516
0.588,134.456,234.851
0.799,143.734,235.626
0.841,143.76,241.909
1.223,162.444,248.905
1.418,166.647,269
1.106,174.468,257.176
0.866,171.687,243.985
0.614,162.339,240.598
0.528,159.401,238.238
0.552,148.27,214.369
0.69,135.676,214.323
0.854,134.266,217.733
1.465,123.37,240.79
1.217,132.453,236.288
1.119,101.497,202.223
0.88,86.88,189.969
0.659,85.635,193.421
0.526,80.074,189.406
0.626,72.555,196.929
0.634,63.608,195.484
0.667,72.062,201.856
0.78,75.316,201.118
0.679,113.612,217.796
0.813,114.826,238.798
0.846,106.304,240.52
1.002,108.66,250.456
1.061,113.189,250.29
0.938,115.988,268.799
1.335,128.197,270.345
1.524,137.339,284.999
1.403,100.818,269.942
1.001,102.72,255.564
0.959,111.936,262.026
0.987,100.931,262
0.969,85.657,245.161
0.948,101.188,244.361
1.019,104.442,257.224
1.112,115.96,261.679
1.105,93.472,249.393
1.292,104.005,252.866
1.21,116.208,242.208
1.141,115.882,241.812
1.229,115.488,247.32
1.027,118.863,247.248
1.07,137.495,264.493
1.108,140.292,273.5
1.223,154.971,273.5
1.17,159.132,262.543
0.36,62.086,186.849
0.386,63.408,178.021
0.309,42.23,173.334
0.255,49.041,159.387
0.272,72.365,161.202
0.192,100.435,168.044
0.084,86.558,160.767
0.079,102.646,154.278
0.079,106.204,176.855
0.064,88.189,150.383
0.053,89.789,149.038
0.065,85.177,146.131
0.072,87.72,142.465
0.086,68.13,142.541
0.197,98.891,156.303
0.215,72.424,148.489
0.236,62.746,148.502
0.262,85.552,167.979
0.242,85.974,175.203
0.307,65.579,180.252
0.349,70.275,182.835
0.311,79.96,183.461
0.276,96.195,187.672
0.221,85.993,196.894
0.157,86.25,186.281
0.182,74.926,185.853
0.079,62.342,180.305
0.087,62.659,167.803
0.109,55.967,159.369
0.252,32.137,178.008
0.31,23.153,177.765
0.332,21.377,194.714
0.32,17.73,196.156
0.41,23.252,202.558
0.478,22.286,188.626
0.505,33.874,185.002
0.477,30.859,193.015
0.608,30.573,200.935
0.793,58.372,203.689
0.69,55.797,193.704
0.646,77.187,187.583
0.472,59.932,162.483
0.408,80.251,166.719
0.466,93.535,167.522
0.519,102.633,151.735
0.462,86.12,151.054
0.447,79.155,163.553
0.442,86.415,155.099
0.311,114.806,157.457
0.372,123.999,157.578
0.396,132.273,152.416
0.35,131.306,150.79
0.307,133.196,150.4
0.353,132.635,152.539
0.35,115.008,180.478
0.272,104.249,186.765
0.232,123.008,194.545
0.171,133.756,203.745
0.157,107.239,191.693
0.111,113.694,186.63
0.068,124.511,188.468
0.057,125.408,178.12
0.056,118.094,186.478
0.079,125.19,191.694
0.102,102.972,193.235
0.093,86.218,185.044
0.081,122.524,180.032
0.141,105.198,178.014
0.143,107.549,177.024
0.102,84.798,176.291
0.088,93.696,171.774
0.135,69.544,162.066
0.103,59.183,151.304
0.089,78.634,153.038
0.079,63.401,153.496
0.077,56.106,150.527
0.059,43.504,145.14
0.076,34.18,142.381
0.067,30.402,142.317
0.156,39.191,142.312
0.099,39.768,142.293
0.081,37.869,142.24
0.116,58.802,142.344
0.139,71.187,150.913
0.175,68.608,150.278
0.199,63.108,156.9
0.238,51.952,173.719
0.144,45.415,179.052
0.095,62.248,184.639
0.087,86.696,205.573
0.134,91.741,220.407
0.132,118.161,216.261
0.152,100.852,200.917
0.151,89.875,227.463
0.09,97.176,215.652
0.066,108.283,217.916
0.046,114.846,213.028
0.042,90.156,203.121
0.041,79.813,200.746
0.04,85.551,188.234
0.042,122.274,193.213
0.04,114.923,188.832
0.057,114.36,211.393
0.069,103.662,220.435
0.079,99.46,224.668
0.094,86.025,228.333
0.097,71.566,235.652
0.071,55.904,236.649
0.136,44.641,235.328
0.217,67.176,229.818
0.202,86.185,227.825
0.274,120.51,240.598
0.197,124.731,231.681
0.209,104.957,224.44
0.189,114.654,219.97
0.255,128.461,213.309
0.247,136.3,202.745
0.217,136.961,201.672
0.18,139.782,206.184
0.116,140.886,187.311
0.076,129.105,185.136
0.077,125.897,179.816
0.08,124.645,166.579
0.08,122.348,162.705
0.126,119.269,161
0.22,123.43,172.006
0.278,138.108,200.818
0.328,137.328,217.252
0.436,164.481,240.402
0.304,166.211,247.034
0.307,159.879,251.122
0.344,158.795,275.214
0.454,158.482,303.736
0.396,154.85,308.887
0.317,156.882,343.506
0.375,153.772,327.776
0.307,145.785,321.295
0.289,151.138,297.408
0.307,125.798,276.115
0.306,135.781,259.493
0.379,135.77,271.344
0.395,121.002,268.831
0.343,138.083,242.65
0.395,100.223,235.253
0.37,91.475,221.094
0.402,109.028,229.82
0.407,107.872,217.542
0.523,124.841,221.621
0.614,142.018,234.784
0.625,155.027,240.66
0.564,132.751,235.347
0.614,125.768,250.869
0.522,124.376,251.009
0.684,135.647,244.214
0.89,140.639,253.501
1.03,158.485,270.933
1.318,171.056,274.411
1.016,174.681,265.067
0.969,175.668,264.677
0.797,159.453,242.03
0.625,149.357,237.019
0.588,143.1,224.084
0.824,129.255,220
1.094,128.408,217.97
1.356,115.128,219.315
1.243,101.717,213.13
1.258,100.11,206.415
0.878,85.355,200.794
0.679,82.482,200.928
0.666,85.492,197.768
0.661,66.037,205.446
0.653,53.106,188.207
0.798,69.654,205.448
0.742,79.774,203.832
0.802,87.293,219.446
0.878,114.961,240.41
0.919,87.928,236.131
1.14,118.569,249.066
1.034,109.578,248.84
1.087,101.916,238.886
1.245,103.373,261.952
1.203,108.352,261.802
1.401,100.323,273.743
0.878,106.899,244.545
0.958,107.469,254.308
1.104,102.953,248.561
1.223,101.956,249.028
1.147,114.925,257.317
1.104,127.309,262.577
1.14,116.051,264.87
1.123,111.282,255.598
1.39,110.953,254.445
1.487,125.461,247.488
1.423,122.266,244.187
1.535,113.376,240.981
1.543,109.317,246.866
1.276,125.56,262.138
1.064,134.823,268.244
1.023,152.347,269.659
1.001,166.096,274.324
0.452,54.489,188.122
0.386,43.007,176.831
0.336,56.015,168.331
0.247,62.629,174.03
0.216,73.617,157.55
0.203,100.31,163.651
0.077,90.712,162.222
0.058,85.759,151.358
0.043,85.761,150.178
0.044,115.062,150.888
0.063,73.457,143.361
0.078,61.259,142.434
0.077,73.917,142.44
0.096,64.356,142.515
0.178,69.229,147.552
0.233,79.765,150.8
0.246,73.251,153.082
0.228,86.532,152.303
0.276,84.631,170.601
0.283,71.688,163.037
0.304,69.174,179.383
0.272,78.845,178.075
0.299,96.89,186.901
0.267,74.855,201.898
0.244,88.52,203.331
0.192,87.009,199.866
0.114,63.566,194.297
0.149,62.757,177.628
0.189,62.746,179.814
0.19,57.652,178.43
0.271,36.886,182.39
0.309,11.275,193.147
0.347,23.571,203.092
0.367,28.996,193.995
0.445,38.745,200.779
0.485,35.163,191.469
0.555,47.4,188.871
0.517,35.208,193.774
0.515,44.12,200.917
0.556,68.946,196.716
0.558,90.084,186.359
0.48,97.786,169.294
0.521,101.731,152.183
0.649,108.24,151.311
0.633,100.383,145.738
0.457,85.398,143.284
0.351,84.837,151.008
0.388,87.121,152.551
0.392,101.758,151.719
0.557,135.757,171.628
0.302,124.379,151.063
0.249,131.242,152.054
0.288,125.104,154.597
0.304,118.737,154.404
0.252,127.472,168.742
0.191,109.616,180.325
0.211,110.522,194.273
0.184,104.232,201.028
0.192,89.759,190.569
0.11,86.655,199.162
0.077,106.637,188.392
0.078,122.408,180.165
0.07,125.314,182.123
0.091,131.169,200.955
0.132,126.742,205.645
0.079,106.578,201.62
0.098,106.354,188.676
0.065,100.547,178.271
0.15,106.854,182.367
0.089,86.58,181.154
0.087,72.373,161.798
0.158,86.106,161.67
0.201,78.933,156.73
0.136,76.45,154.087
0.079,57.324,152.405
0.068,60.796,151.049
0.06,36.028,149.67
0.08,42.625,144.299
0.079,38.487,142.386
0.135,30.368,142.221
0.08,44.227,142.258
0.076,38.542,142.201
0.13,62.643,142.483
0.093,61.096,144.774
0.077,61.122,150.072
0.166,50.73,150.71
0.137,54.848,159.149
0.107,53.59,180.804
0.099,56.015,186.437
0.181,70.751,211.053
0.099,84.833,219.124
0.133,118.36,219.15
0.123,131.897,228.039
0.1,107.23,232.571
0.066,108.581,237.373
0.077,114.386,218.871
0.053,125.179,216.264
0.045,93.855,201.635
0.041,97.223,198.051
0.04,86.001,187.292
0.044,118.207,200.25
0.045,105.567,203.298
0.066,109.965,207.57
0.07,112.044,218.142
0.083,87.009,228.768
0.11,80.297,244.329
0.076,56.347,241.857
0.08,52.11,235.94
0.171,55.267,224.851
0.241,74.248,239.314
0.305,101.133,241.786
0.305,127.285,243.937
0.231,127.666,250.217
0.118,114.853,238.858
0.213,115.432,246.528
0.279,124.752,216.26
0.307,130.663,202.299
0.265,144.287,200.941
0.15,143.202,187.651
0.098,138.018,187.214
0.078,126.497,179.862
0.05,130.056,176.941
0.067,133.018,178.55
0.068,122.606,167.874
0.135,124.482,171.354
0.233,124.049,176.627
0.236,142.878,204.132
0.217,145.63,210.439
0.28,165.51,232.704
0.279,144.497,235.957
0.405,140.921,254.621
0.398,152,281.797
0.455,156.725,304.501
0.379,140.917,323.19
0.35,160.294,346.656
0.367,158.581,352.532
0.3,150.006,345.027
0.229,137.997,297.861
0.231,147.335,290.462
0.283,139.84,270.536
0.306,126.185,264.61
0.326,118.191,249.171
0.376,122.06,237.515
0.373,114.266,229.045
0.368,100.852,216.061
0.289,85.033,204.112
0.377,106.173,213.912
0.41,106.416,215.66
0.414,134.407,226.52
0.507,134.504,240.695
0.632,120.638,246.772
0.551,109.178,250.206
0.522,128.41,264.437
0.579,120.91,255.976
0.808,130.935,274.882
1.018,157.315,293.33
1.056,171.028,291.815
1.13,178.335,270.499
1.032,176.531,256.407
0.881,152.142,229.764
0.706,148.583,229.462
0.799,134.142,237.285
0.828,109.833,214.842
1.194,113.466,218.042
1.146,107.556,217.831
1.16,86.146,213.264
1.325,91.27,208.575
0.964,114.404,204.091
0.811,86.262,203.377
0.78,95.448,214.19
0.92,86.613,213.191
0.738,71.723,199.884
0.75,84.824,200.926
0.819,119.79,215.584
0.647,107.278,211.894
0.859,129.789,234.384
1.082,114.865,236.875
0.961,121.844,254.682
0.919,123.991,241.113
1.014,124.498,253.113
1.327,107.178,269.951
1.147,126.976,273.453
1.384,111.099,269.769
1.132,113.479,248.812
0.794,106.784,235.358
1.122,129.392,236.54
1.071,136.255,250.908
1.278,129.846,263.269
1.323,128.854,267.054
1.368,124.891,271.102
1.645,126.431,272.487
1.6,123.398,262.115
1.518,111.959,264.866
1.415,109.301,253.397
1.077,101.522,241.951
1.464,87.921,247.141
1.105,115.285,264.127
0.925,117.525,262.154
1.148,150.678,283.168
1.057,142.882,289.868
0.52,64.048,203.245
0.327,64.472,187.864
0.29,66.336,185.636
0.188,62.651,175.988
0.217,63.506,157.051
0.195,78.95,156.558
0.079,108.223,152.402
0.06,86.156,142.543
0.046,100.308,150.634
0.06,102.634,152.555
0.059,85.081,145.994
0.068,73.716,146.269
0.079,76.171,144.435
0.181,71.912,147.288
0.233,77.126,148.276
0.247,86.758,155.251
0.237,69.808,153.148
0.279,88.021,158.756
0.245,85.577,160.414
0.262,81.312,175.813
0.29,84.606,188.611
0.294,71.79,192.601
0.275,75.433,194.218
0.278,71.169,200.387
0.299,80.177,200.958
0.224,68.317,210.168
0.164,60.489,186.554
0.142,40.136,171.593
0.183,46.815,177.298
0.212,61.968,176.503
0.262,62.613,200.896
0.298,23.563,200.488
0.319,14.415,188.259
0.347,24.601,190.345
0.348,22.118,200.614
0.475,24.827,200.859
0.538,34.281,205.453
0.522,54.989,200.778
0.5,67.553,202.923
0.519,84.919,193.134
0.559,98.976,176.184
0.457,88.646,151.854
0.452,106.355,146.88
0.457,121.391,146.371
0.484,107.034,144.121
0.441,109.325,147.705
