DHID,Drill_Type,x,y,z
DH_000,RC,621.4349999999977,1245.9819999998435,15.177999999999997
DH_001,RC,666.5430000000051,1145.125,14.039000000000044
DH_002,RC,566.6970000000438,1150.680999999866,13.088000000000022
DH_003,RC,497.3550000000396,1156.1739999996498,13.210000000000036
DH_004,RC,566.3429999999935,1147.535000000149,13.064999999999998
DH_005,RC,754.5140000000247,1339.980000000447,16.531000000000006
DH_006,RC,855.2760000000126,1333.8310000002384,18.63499999999999
DH_007,RC,655.1149999999907,1345.2640000004321,15.829000000000008
DH_008,RC,647.8960000000079,1052.313000000082,12.924000000000035
DH_009,RC,747.8490000000456,1048.7740000002086,12.970000000000027
DH_010,RC,849.4550000000163,1044.4879999998957,13.677999999999997
DH_011,RC,683.1790000000037,947.7340000001714,11.376000000000033
DH_012,RC,585.8319999999949,974.2869999995455,11.596000000000004
DH_013,RC,485.54200000001583,977.1720000002533,12.751000000000033
DH_014,RC,385.84700000000885,978.1929999999702,14.275000000000034
DH_015,RC,514.945000000007,975.9230000004172,11.822000000000003
DH_016,RC,740.3070000000298,855.25,12.107000000000028
DH_017,RC,283.12200000003213,977.7429999997839,12.402000000000044
DH_018,RC,783.3159999999916,944.1560000004247,12.442000000000007
DH_019,RC,747.3040000000037,755.1749999998137,10.506000000000029
DH_020,RC,639.3490000000456,858.8389999996871,10.238
DH_021,RC,647.6790000000037,762.3820000002161,9.710000000000036
DH_022,RC,518.2939999999944,858.7160000000149,10.682999999999993
DH_023,RC,418.80200000002515,864.6969999996945,11.518000000000029
DH_024,RC,318.15299999999115,877.1009999997914,11.22399999999999
DH_025,RC,217.81300000002375,889.7640000004321,12.081999999999994
DH_026,RC,183.75700000004144,983.0789999999106,11.425999999999988
DH_027,RC,544.9960000000428,766.0099999997765,10.040999999999997
DH_028,RC,787.2779999999912,630.6200000001118,8.783999999999992
DH_029,RC,839.7710000000079,853.6210000002757,11.41500000000002
DH_030,RC,885.8270000000484,612.8729999996722,10.660000000000025
DH_031,RC,883.0840000000317,941.0959999999031,12.682999999999993
DH_032,RC,701.9250000000466,545.3890000004321,7.636000000000024
DH_033,RC,603.9510000000009,547.7489999998361,7.057999999999993
DH_034,RC,655.51800000004,1347.4869999997318,16.048000000000002
DH_035,RC,504.7080000000424,554.3459999999031,6.864000000000033
DH_036,RC,846.7640000000247,748.563000000082,10.350000000000023
DH_037,RC,407.4670000000042,566.3899999996647,7.031000000000006
DH_038,RC,766.6170000000275,1138.3240000000224,14.699999999999989
DH_039,RC,866.8870000000461,1132.3789999997243,15.535000000000025
DH_040,RC,966.4810000000289,1119.3289999999106,15.12700000000001
DH_041,RC,519.314000000013,364.1030000001192,4.270000000000039
DH_042,RC,619.304999999993,370.41799999959767,5.367999999999995
DH_043,RC,719.2370000000228,369.1239999998361,6.2620000000000005
DH_044,RC,501.4660000000149,475.99100000038743,5.862000000000023
DH_045,RC,718.1630000000005,468.9560000002384,7.571000000000026
DH_046,RC,401.93800000002375,478.9069999996573,5.925000000000011
DH_047,RC,800.8170000000391,531.4239999996498,8.329000000000008
DH_048,RC,833.1320000000414,455.4210000000894,7.859000000000037
DH_049,RC,601.7550000000047,468.50600000005215,5.859000000000037
DH_050,RC,741.4070000000065,271.65299999993294,5.491000000000042
DH_051,RC,818.9800000000396,357.0690000001341,7.016999999999996
DH_052,RC,629.6550000000279,286.71999999973923,4.699999999999989
DH_053,RC,931.7000000000116,345.3509999997914,7.5470000000000255
DH_054,RC,529.5270000000019,292.75600000005215,4.3799999999999955
DH_055,RC,430.71100000001024,310.89199999999255,4.343999999999994
DH_056,RC,766.2820000000065,174.91899999976158,6.0470000000000255
DH_057,RC,793.1469999999972,78.80800000019372,4.346000000000004
DH_058,RC,864.5230000000447,171.53199999965727,5.65500000000003
DH_059,RC,892.76800000004,74.7050000000745,4.990000000000009
DH_060,RC,666.8680000000168,182.04200000036508,4.40300000000002
DH_061,RC,694.1680000000051,84.18599999975413,3.6580000000000155
DH_062,RC,993.1480000000447,68.2949999999255,5.117999999999995
DH_063,RC,948.8539999999921,151.8420000001788,4.923000000000002
DH_064,RC,399.92800000001444,1148.8420000001788,15.16700000000003
DH_065,RC,1049.3300000000163,149.14599999971688,6.36099999999999
DH_066,RC,549.3630000000121,149.28000000026077,3.2309999999999945
DH_067,RC,517.7460000000428,848.980000000447,10.506000000000029
DH_068,RC,449.4789999999921,149.31500000040978,2.117999999999995
DH_069,RC,956.0230000000447,1348.7029999997467,17.4221
DH_070,RC,1047.3070000000298,1348.855000000447,18.415200000000027
DH_071,RC,549.5450000000419,1348.8490000003949,15.476600000000019
DH_072,RC,1049.3470000000088,1248.8099999995902,17.293200000000013
DH_073,RC,849.3400000000256,1448.7659999998286,18.914500000000032
DH_074,RC,1149.4060000000172,1448.9670000001788,20.519600000000025
DH_075,RC,549.3880000000354,1448.785000000149,16.393599999999992
DH_076,RC,519.564000000013,1248.6730000004172,14.208200000000033
DH_077,RC,1004.4780000000028,1249.769999999553,17.486800000000017
DH_078,RC,1001.3170000000391,1250.0870000002906,17.406499999999994
DH_079,RC,569.4770000000135,1249.88300000038,14.130400000000009
DH_080,RC,899.344000000041,1249.9239999996498,16.930200000000013
DH_081,RC,469.31100000004517,1249.938000000082,14.58420000000001
DH_082,RC,769.1959999999963,1250.063000000082,15.759999999999991
DH_083,RC,419.4400000000023,1249.8300000000745,15.771500000000003
DH_084,RC,671.7609999999986,1250.089999999851,16.1961
DH_085,RC,947.3830000000307,1199.8279999997467,16.0711
DH_086,RC,369.4760000000242,849.8990000002086,11.088799999999992
DH_087,RC,899.1350000000093,1199.9809999996796,16.094300000000032
DH_088,RC,967.3530000000028,1150.0590000003576,15.788100000000043
DH_089,RC,920.9910000000382,1149.7999999998137,15.074000000000012
DH_090,RC,850.0659999999916,1199.8339999997988,18.464400000000012
DH_091,RC,819.0040000000154,1149.8880000002682,15.594899999999996
DH_092,RC,269.42500000004657,849.8959999997169,11.643100000000004
DH_093,RC,799.4189999999944,1200.0870000002906,16.27019999999999
DH_094,RC,723.0200000000186,1149.6820000000298,15.027899999999988
DH_095,RC,995.5510000000359,1433.7649999996647,18.622000000000014
DH_096,RC,748.4470000000438,1200.0109999999404,14.904699999999991
DH_097,RC,697.0340000000433,1449.8710000002757,17.327200000000005
DH_098,RC,616.7970000000205,1149.8250000001863,14.515899999999988
DH_099,RC,738.5630000000237,650.0439999997616,8.974700000000041
DH_100,RC,698.7020000000484,1199.8090000003576,14.645100000000014
DH_101,RC,516.8520000000135,1149.9469999996945,13.286200000000008
DH_102,RC,642.3919999999925,649.9979999996722,8.170800000000042
DH_103,RC,595.6450000000186,649.9040000000969,8.725700000000018
DH_104,RC,728.8500000000349,899.9529999997467,11.408999999999992
DH_105,RC,649.679999999993,1199.9519999995828,15.912200000000041
DH_106,RC,939.6270000000368,849.8360000001267,12.910000000000025
DH_107,RC,681.0420000000158,900.0190000003204,10.945100000000025
DH_108,RC,889.4810000000289,850.0449999999255,11.877200000000016
DH_109,RC,699.6419999999925,800.0499999998137,10.989300000000014
DH_110,RC,629.0670000000391,900.027999999933,11.051300000000026
DH_111,RC,789.2420000000275,849.9840000001714,11.410799999999995
DH_112,RC,686.0290000000386,850.0319999996573,10.802700000000016
DH_113,RC,646.6720000000205,800.0329999998212,10.062600000000032
DH_114,RC,579.5070000000414,849.9950000001118,9.893000000000029
DH_115,RC,597.8800000000047,799.8859999999404,9.579000000000008
DH_116,RC,990.0900000000256,951.1260000001639,14.600999999999999
DH_117,RC,933.8340000000317,951.3229999998584,13.152000000000044
DH_118,RC,471.4880000000121,848.74199999962,10.644000000000005
DH_119,RC,949.2930000000051,751.0540000004694,12.382000000000005
DH_120,RC,833.7339999999967,951.1699999999255,12.483000000000004
DH_121,RC,999.505999999994,751.24199999962,13.04400000000004
DH_122,RC,948.9910000000382,1048.7609999999404,14.29000000000002
DH_123,RC,899.088000000047,751.3310000002384,11.960000000000036
DH_124,RC,728.9640000000363,951.1349999997765,11.997000000000014
DH_125,RC,796.2950000000419,749.980000000447,9.87299999999999
DH_126,RC,628.25,950.0089999996126,11.633000000000038
DH_127,RC,899.4810000000289,1049.8789999997243,13.727000000000032
DH_128,RC,699.5740000000224,749.9050000002608,10.222000000000037
DH_129,RC,799.4040000000386,1049.9840000001714,13.466000000000008
DH_130,RC,515.6730000000098,949.9759999997914,11.480999999999995
DH_131,RC,599.5530000000144,750.4460000004619,9.020000000000039
DH_132,RC,699.4980000000214,1049.9759999997914,13.090000000000032
DH_133,RC,436.6110000000335,961.7810000004247,14.271000000000015
DH_134,RC,499.2530000000261,749.8909999998286,9.562999999999988
DH_135,RC,449.46199999999953,749.9309999998659,9.720000000000027
DH_136,RC,334.5819999999949,949.8839999996126,13.34899999999999
DH_137,RC,399.53000000002794,750.0360000003129,9.31800000000004
DH_138,RC,235.17600000003586,954.4170000003651,11.670000000000016
DH_139,RC,599.6370000000461,1049.9979999996722,12.396000000000015
