DHID,depth,azimuth,dip
DH_000,0.0,90.0,-60.0
DH_000,5.0,89.055,-59.902
DH_000,10.0,89.841,-60.3
DH_000,15.0,90.463,-60.785
DH_000,20.0,91.273,-61.225
DH_000,25.0,92.109,-61.818
DH_000,30.0,92.328,-62.426
DH_000,35.0,92.353,-63.026
DH_000,40.0,92.783,-63.667
DH_000,45.0,92.02,-64.069
DH_000,50.0,91.715,-64.259
DH_000,55.0,92.274,-64.692
DH_000,60.0,92.931,-65.159
DH_000,65.0,94.612,-65.388
DH_000,70.0,95.84,-65.892
DH_000,75.0,96.067,-66.242
DH_000,80.0,96.463,-66.5
DH_000,85.0,97.088,-67.017
DH_000,90.0,97.643,-67.042
DH_000,95.0,97.292,-67.243
DH_000,100.0,96.967,-67.634
DH_000,105.0,98.049,-67.436
DH_000,110.0,98.809,-67.383
DH_000,115.0,99.128,-67.834
DH_000,120.0,99.6,-68.125
DH_000,125.0,99.757,-68.358
DH_000,130.0,99.529,-68.9
DH_000,135.0,100.036,-69.352
DH_000,140.0,101.146,-69.85
DH_000,145.0,102.055,-70.051
DH_000,150.0,102.986,-70.309
DH_000,155.0,103.931,-70.776
DH_000,160.0,105.288,-71.151
DH_000,165.0,105.758,-71.45
DH_000,170.0,104.746,-71.551
DH_000,175.0,105.336,-71.98
DH_000,180.0,106.473,-72.117
DH_000,185.0,106.044,-72.192
DH_000,190.0,106.277,-72.684
DH_000,195.0,107.133,-72.942
DH_000,200.0,109.113,-73.356
DH_000,205.0,112.311,-73.814
DH_000,210.0,114.675,-74.21
DH_000,215.0,115.5,-74.55
DH_001,0.0,90.0,-60.0
DH_001,5.0,91.917,-58.972
DH_001,10.0,90.942,-59.234
DH_001,15.0,91.455,-59.6
DH_001,20.0,91.103,-60.102
DH_001,25.0,90.819,-60.441
DH_001,29.956,91.385,-60.95
DH_001,34.911,92.095,-61.522
DH_001,40.0,93.233,-62.218
DH_001,45.0,93.349,-62.874
DH_001,49.956,94.114,-63.3
DH_001,54.911,94.982,-63.621
DH_001,59.867,94.876,-64.0
DH_001,64.822,95.813,-64.518
DH_001,70.0,96.341,-64.992
DH_001,75.0,96.734,-65.184
DH_001,80.0,97.083,-65.6
DH_001,85.0,96.992,-66.133
DH_001,90.0,97.624,-66.777
DH_001,95.0,98.474,-67.642
DH_001,100.0,97.901,-67.976
DH_001,105.0,97.867,-68.318
DH_001,110.0,99.254,-68.76
DH_001,115.0,99.63,-69.192
DH_001,120.0,99.59,-69.584
DH_001,125.0,99.636,-69.884
DH_001,130.0,99.185,-70.292
DH_001,135.0,99.62,-70.676
DH_001,140.0,100.546,-71.084
DH_001,145.0,100.584,-71.342
DH_001,150.0,100.3,-71.575
DH_001,155.0,100.374,-71.992
DH_001,160.0,100.795,-72.45
DH_001,165.0,101.916,-72.71
DH_001,170.0,102.206,-72.942
DH_001,175.0,102.86,-73.011
DH_001,180.0,104.513,-72.967
DH_001,185.0,103.862,-73.262
DH_001,190.0,102.856,-73.625
DH_001,195.0,102.381,-73.768
DH_001,200.0,101.889,-73.925
DH_001,205.0,102.585,-74.092
DH_001,210.0,103.173,-74.283
DH_001,215.0,103.114,-74.292
DH_001,220.0,102.95,-74.067
DH_002,0.0,90.0,-60.0
DH_002,10.0,90.519,-60.676
DH_002,20.0,90.874,-61.125
DH_002,30.0,91.219,-61.576
DH_002,40.0,91.574,-62.025
DH_002,50.0,91.918,-62.476
