DHID,Easting,Northing,Elevation
DDH001,233.6286,22.5254,174.3115
DDH002,233.6286,22.5254,174.3115
DDH003,233.6286,22.5254,174.3115
DDH004,233.6286,22.5254,174.3115
DDH005,233.6286,22.5254,174.3115
DDH006,191.4627,30.0491,176.6345
DDH007,191.4627,30.0491,176.6345
DDH008,191.4627,30.0491,176.6345
DDH009,191.4627,30.0491,176.6345
DDH010,191.4627,30.0491,176.6345
DDH011,142.847,83.1134,180.0423
DDH012,142.847,83.1134,180.0423
DDH013,142.847,83.1134,180.0423
DDH014,256.6791,35.4724,175.3341
DDH015,256.6791,35.4724,175.3341
DDH016,256.6791,35.4724,175.3341
DDH017,256.6791,35.4724,175.3341
DDH018,256.6791,35.4724,175.3341
DDH019,301.7296,126.2838,175.0087
DDH020,301.7296,126.2838,175.0087
DDH021,301.7296,126.2838,175.0087
DDH022,301.7296,126.2838,175.0087
DDH023,301.7296,126.2838,175.0087
DDH024,265.184,136.2497,173.8769
DDH025,260.4295,2.6293,172.1978
DDH026,260.4295,2.6293,172.1978
DDH027,260.4295,2.6293,172.1978
DDH028,260.4295,2.6293,172.1978
DDH029,260.4295,2.6293,172.1978
DDH030,67.6547,115.8547,184.5275
DDH031,0.8714,148.7853,172.4048
DDH032,0.8714,148.7853,172.4048
DDH033,0.8714,148.7853,172.4048
DDH034,0.8714,148.7853,172.4048
DDH035,0.8714,148.7853,172.4048
DDH036,158.7166,62.8797,172.2104
DDH037,158.7166,62.8797,172.2104
DDH038,158.7166,62.8797,172.2104
DDH039,13.2068,198.7275,178.4567
DDH040,35.9903,42.0591,174.0067
DDH041,35.9903,42.0591,174.0067
DDH042,35.9903,42.0591,174.0067
DDH043,387.3347,26.7099,177.3522
DDH044,387.3347,26.7099,177.3522
DDH045,387.3347,26.7099,177.3522
DDH046,216.736,79.4385,181.2926
DDH047,216.736,79.4385,181.2926
DDH048,216.736,79.4385,181.2926
DDH049,183.166,152.9694,172.1592
DDH050,183.166,152.9694,172.1592
DDH051,183.166,152.9694,172.1592
DDH052,187.3826,77.0651,178.1971
DDH053,187.3826,77.0651,178.1971
DDH054,187.3826,77.0651,178.1971
DDH055,187.3826,77.0651,178.1971
DDH056,187.3826,77.0651,178.1971
DDH057,344.8257,168.3113,172.454
DDH058,344.8257,168.3113,172.454
DDH059,344.8257,168.3113,172.454
DDH060,344.8257,168.3113,172.454
DDH061,393.7844,96.4523,175.9865
DDH062,100.6102,123.7379,178.8798
DDH063,100.6102,123.7379,178.8798
DDH064,100.6102,123.7379,178.8798
DDH065,100.6102,123.7379,178.8798
DDH066,46.7362,154.4368,175.2824
DDH067,148.644,159.8618,173.5728
DDH068,148.644,159.8618,173.5728
DDH069,148.644,159.8618,173.5728
DDH070,148.644,159.8618,173.5728
DDH071,128.5999,190.5793,174.5989
DDH072,128.5999,190.5793,174.5989
DDH073,128.5999,190.5793,174.5989
DDH074,136.3797,12.1596,194.1312
DDH075,136.3797,12.1596,194.1312
DDH076,136.3797,12.1596,194.1312
DDH077,136.3797,12.1596,194.1312
DDH078,136.3797,12.1596,194.1312
DDH079,398.9308,159.24,172.84
DDH080,398.9308,159.24,172.84
DDH081,398.9308,159.24,172.84
DDH082,40.0288,20.7941,172.3511
DDH083,40.0288,20.7941,172.3511
DDH084,40.0288,20.7941,172.3511
