DHID,Azimuth,Inclination,Depth
DDH001,344.7,-71.2,0.0
DDH001,344.7,-71.3,5.0
DDH001,344.7,-71.1,10.0
DDH001,344.8,-71.1,15.0
DDH001,344.5,-71.2,20.0
DDH001,344.6,-71.2,25.0
DDH001,344.5,-71.1,30.0
DDH001,344.7,-71.0,35.0
DDH001,344.7,-71.1,40.0
DDH001,344.7,-71.3,45.0
DDH001,344.6,-71.0,50.0
DDH001,344.5,-71.2,55.0
DDH001,344.7,-71.2,60.0
DDH001,344.6,-71.0,65.0
DDH001,344.7,-71.2,70.0
DDH001,344.6,-70.9,75.0
DDH001,344.5,-71.2,80.0
DDH001,344.7,-71.0,85.0
DDH001,344.4,-70.9,90.0
DDH001,344.5,-70.9,95.0
DDH002,297.1,-79.1,0.0
DDH002,297.0,-79.0,5.0
DDH002,297.1,-79.0,10.0
DDH002,296.9,-79.0,15.0
DDH002,297.0,-78.8,20.0
DDH002,297.1,-78.9,25.0
DDH002,297.3,-78.8,30.0
DDH002,296.9,-79.1,35.0
DDH002,297.2,-78.8,40.0
DDH002,297.2,-78.9,45.0
DDH002,297.1,-79.0,50.0
DDH002,297.2,-78.9,55.0
DDH002,297.0,-79.1,60.0
DDH002,297.0,-78.8,65.0
DDH002,297.3,-79.1,70.0
DDH002,297.1,-79.2,75.0
DDH002,297.0,-78.9,80.0
DDH002,297.2,-79.0,85.0
DDH002,297.2,-78.9,90.0
DDH002,297.1,-79.0,95.0
DDH002,297.0,-79.1,100.0
DDH002,297.0,-79.2,105.0
DDH002,297.0,-79.1,110.0
DDH002,297.3,-79.3,115.0
DDH002,297.3,-79.2,120.0
DDH002,297.3,-79.0,125.0
DDH002,297.4,-79.2,130.0
DDH002,297.0,-79.3,135.0
DDH002,297.2,-79.0,140.0
DDH002,297.1,-79.0,145.0
DDH002,297.4,-79.2,150.0
DDH003,315.2,-82.4,0.0
DDH003,315.5,-82.3,5.0
DDH003,315.5,-82.5,10.0
DDH003,315.4,-82.3,15.0
DDH003,315.4,-82.2,20.0
DDH003,315.4,-82.3,25.0
DDH003,315.3,-82.3,30.0
DDH003,315.5,-82.2,35.0
DDH003,315.3,-82.5,40.0
DDH003,315.1,-82.1,45.0
DDH003,315.4,-82.2,50.0
DDH003,315.1,-82.3,55.0
DDH003,315.2,-82.5,60.0
DDH003,315.3,-82.4,65.0
DDH003,315.1,-82.4,70.0
DDH003,315.4,-82.3,75.0
DDH003,315.3,-82.4,80.0
DDH003,315.3,-82.3,85.0
DDH003,315.4,-82.0,90.0
DDH003,315.4,-82.1,95.0
DDH003,315.2,-82.3,100.0
DDH003,315.2,-82.1,105.0
DDH003,315.2,-82.2,110.0
DDH003,315.1,-82.3,115.0
DDH003,315.3,-82.2,120.0
DDH003,315.1,-82.1,125.0
DDH003,315.3,-82.3,130.0
DDH003,315.0,-82.1,135.0
DDH004,104.8,-88.6,0.0
DDH004,104.6,-88.4,5.0
DDH004,104.5,-88.6,10.0
DDH004,104.5,-88.6,15.0
DDH004,104.7,-88.6,20.0
DDH004,104.6,-88.5,25.0
DDH004,104.6,-88.6,30.0
DDH004,104.5,-88.6,35.0
DDH004,104.4,-88.4,40.0
DDH004,104.5,-88.5,45.0
DDH004,104.7,-88.4,50.0
DDH004,104.4,-88.6,55.0
DDH004,104.7,-88.5,60.0
DDH004,104.5,-88.4,65.0
DDH004,104.7,-88.5,70.0
DDH004,104.7,-88.5,75.0
DDH004,104.5,-88.5,80.0
DDH004,104.4,-88.4,85.0
DDH004,104.4,-88.7,90.0
DDH004,104.5,-88.8,95.0
DDH004,104.4,-88.5,100.0
DDH004,104.5,-88.6,105.0
DDH004,104.4,-88.6,110.0
DDH004,104.8,-88.6,115.0
DDH004,104.7,-88.5,120.0
DDH004,104.7,-88.5,125.0
DDH004,104.8,-88.8,130.0
DDH004,104.8,-88.6,135.0
DDH004,104.4,-88.6,140.0
DDH004,104.7,-88.6,145.0
DDH005,15.2,-54.4,0.0
DDH005,15.3,-54.2,5.0
DDH005,15.1,-54.2,10.0
DDH005,15.1,-54.2,15.0
