dhid,from,to,x,y,z,xstart,ystart,zstart,xend,yend,zend,zone,var
237.0,124.3,124.61,545.9515320006758,567.2258000000147,252.58901199999946,545.9554099999368,567.1426360000623,252.88762399999996,545.9476540014148,567.3089659999823,252.29039999999986,2.0,1.01346
237.0,124.61,125.0,545.9428380001336,567.4135880001122,251.91472599999952,545.9476460013539,567.3089659999823,252.29039999999986,545.938030000776,567.5182120001409,251.53905399999985,2.0,0.1911
237.0,125.0,126.0,545.9259500000626,567.7864680000348,250.5757819999999,545.9379200004041,567.518216000055,251.53905600000007,545.913979999721,568.054720000131,249.61250599999994,2.0,2.3805599999999996
237.0,126.0,126.79,545.9049360007048,568.2666240000399,248.85151199999973,545.9140280019492,568.0547180001158,249.61250599999994,545.8958459999412,568.4785280000651,248.0905159999993,2.0,2.6103
237.0,126.79,127.1,545.8924340009689,568.5616760000121,247.7918939999995,545.8959140013903,568.4785260000499,248.09051399999998,545.8889540005475,568.644823999959,247.49327399999993,2.0,1.28142
237.0,127.1,127.87,545.8804640006274,568.851352000027,246.75153599999976,545.8888900000602,568.6448280001059,247.4932759999997,545.8720360007137,569.0578760000644,246.0097979999996,2.0,1.56576
237.0,127.87,128.97,545.8603499997407,569.352732000174,244.95011599999953,545.8721159994602,569.0581380001968,246.00986799999964,545.8485840018839,569.64732800005,243.89036399999986,2.0,2.3595599999999997
238.0,128.29,129.0,548.4276040010154,549.2835960001685,239.22445199999947,548.4310760013759,549.14708600007,239.92119799999955,548.4241320006549,549.4201040001353,238.52770799999962,2.0,2.3241
238.0,129.0,130.0,548.4194480013102,549.6121560002211,237.5463339999992,548.4240960013121,549.4201420000754,238.5277159999996,548.4147999994457,549.8041720001493,236.56495399999994,2.0,6.708600000000001
238.0,130.0,131.0,548.410436000675,549.9958940000506,235.58351399999992,548.4147999994457,549.8041720001493,236.56495399999994,548.4060700014234,550.1876160000684,234.6020739999999,2.0,0.72555
238.0,131.0,131.75,548.4030140005052,550.3311840000097,233.86594999999988,548.4061019998044,550.1875840000575,234.6020679999997,548.399926001206,550.4747820001794,233.12983199999962,2.0,1.0013999999999998
238.0,131.75,132.25,548.3979780022055,550.5704000000842,232.63906399999996,548.3999480009079,550.4747600001283,233.1298280000001,548.3960079997778,550.6660420000553,232.14829999999984,2.0,0.69705
239.0,130.9,131.81,542.695538001135,519.9613540001446,228.8843240000001,542.7047460004687,519.8728080000728,229.78996000000006,542.6863299999386,520.0498980002012,227.97868999999946,1.0,0.212
239.0,131.81,133.0,542.675096001476,520.1654060002184,226.79435999999987,542.6864999998361,520.0498640001751,227.97868199999994,542.6636900007725,520.2809460001299,225.61003799999935,1.0,1.26392
239.0,133.0,133.81,542.6558600012213,520.359541999991,224.80389799999966,542.6636780016124,520.2809380001854,225.61003599999958,542.6480420008302,520.4381480001612,223.99775799999952,2.0,0.32085
239.0,133.81,134.44,542.6419280022383,520.4992580000544,223.3707599999998,542.6480379998684,520.4381440001307,223.99775799999952,542.635816000402,520.5603720002109,222.74375999999984,2.0,0.7173
239.0,134.44,134.76,542.6326960008591,520.5914040001808,222.42528399999946,542.6358120013028,520.560368000064,222.74375999999984,542.6295820008963,520.6224380001659,222.10680799999955,2.0,1.5187499999999998
