segment,x,y,z
1,1.61218,877.21768,970
1,35.61218,1205.21768,970
2,1.61218,877.21768,970
2,199.61218,825.21768,970
3,199.61218,825.21768,970
3,201.61218,517.21768,970
4,201.61218,517.21768,970
4,403.17218,565.65693,970
5,403.17218,565.65693,970
5,406.16857,366.87986,970
6,403.17218,565.65693,970
6,404.14209,764.66,970
7,404.14209,764.66,970
7,501.60121,610.57878,970
8,501.60121,610.57878,970
8,595.61218,729.21768,970
9,595.61218,729.21768,970
9,627.61218,967.21768,970
10,627.61218,967.21768,970
10,795.61218,877.21768,970
11,595.61218,729.21768,970
11,703.60849,594.37487,970
12,703.60849,594.37487,970
12,865.74915,455.68687,970
13,703.60849,594.37487,970
13,652.29817,377.40227,970
14,652.29817,377.40227,970
14,695.99485,266.90145,970
15,695.99485,266.90145,970
15,604.14882,163.10263,970
16,604.14882,163.10263,970
16,402.93995,73.25651,970
17,199.61218,825.21768,970
17,229.61218,1075.21768,970
18,604.14882,163.10263,970
18,803.97132,2.90202,970
19,803.97132,2.90202,970
19,902.1144,127.06262,970
20,695.99485,266.90145,970
20,801.12065,267.01785,970
21,406.16857,366.87986,970
21,314.29244,304.32874,970
22,229.61218,1075.21768,970
22,409.61218,1125.21768,970
23,35.61218,1205.21768,970
23,111.61218,957.21768,970
