Semivariogram           tail:fe           head:fe            direction  1 
   1         .000       .00000    13026       65.81500       65.81500
   2       24.686      2.17972    53566       65.73604       65.68903
   3       50.585      2.33796   204968       65.79905       65.70839
   4       83.225      2.38120   557214       65.89863       65.79561
   5      111.787      2.50282   728972       65.94354       65.78206
   6      157.757      2.62155   725884       65.96929       65.74605
   7      191.675      2.60750   703991       65.94081       65.72788
   8      242.872      2.60519   928828       65.90205       65.76329
   9      268.744      2.64927   947414       65.87787       65.74877
  10      322.606      2.65656   878490       65.87309       65.71227
  11      350.146      2.65712   898395       65.87243       65.69027
  12      406.595      2.68665  1052091       65.84917       65.65266
  13      429.395      2.70528  1019219       65.85049       65.59562
  14      485.239      2.74849   890727       65.84979       65.55583
  15      507.238      2.74907   825814       65.83707       65.57350
  16      563.078      2.80180   666752       65.85433       65.51914
  17      580.890      2.79288   556173       65.87231       65.58259
  18      644.046      2.84837   397481       65.83452       65.66343
  19      662.253      2.82225   425587       65.86450       65.70354
  20      721.725      2.85054   394734       65.81410       65.66638
  21      738.367      2.85100   290349       65.77152       65.65432
  22      806.009      2.81736   161987       65.65219       65.59029
Semivariogram           tail:fe           head:fe            direction  2 
   1         .000       .00000    13026       65.81500       65.81500
   2       24.436      2.10243    50552       65.85378       65.86619
   3       51.959      2.38369   247883       65.81996       65.74980
   4       88.040      2.47610   532618       65.79056       65.77848
   5      121.797      2.54974   630835       65.77871       65.76286
   6      165.932      2.60855   841874       65.83155       65.73855
   7      197.345      2.65117   948836       65.87123       65.73272
   8      237.930      2.72079   726355       65.87922       65.72652
   9      281.779      2.61889   850149       65.91917       65.78998
  10      322.086      2.54180  1113399       65.95956       65.80668
  11      359.109      2.52289   933885       65.97998       65.80238
  12      400.608      2.52558   823657       66.00024       65.77942
  13      438.871      2.54797  1060027       65.99614       65.76067
  14      479.273      2.55991  1071058       65.97908       65.75398
  15      519.776      2.55075   959743       65.97307       65.74616
  16      558.439      2.55623   926405       65.95760       65.75610
  17      598.935      2.58003   924492       65.91120       65.75494
  18      635.049      2.60214   769984       65.87777       65.74229
  19      677.488      2.67327   584100       65.85031       65.74730
  20      719.118      2.69521   513977       65.88067       65.73804
  21      758.681      2.65319   373768       65.92108       65.72894
  22      792.289      2.60062   210836       65.93916       65.72592
Semivariogram           tail:fe           head:fe            direction  3 
   1         .000       .00000    13026       65.81500       65.81500
   2       25.532      2.01732    55143       65.86178       65.85526
   3       50.491      2.22714   214587       65.77933       65.86905
   4       82.504      2.44835   543179       65.72889       65.89299
   5      112.726      2.52696   720538       65.69026       65.89691
   6      156.982      2.54369   727707       65.69745       65.80533
   7      191.923      2.56600   685276       65.73292       65.74490
   8      243.177      2.57370   907778       65.81639       65.78821
   9      269.427      2.56655   940835       65.85333       65.76687
  10      322.309      2.57117   884009       65.86098       65.76600
  11      350.398      2.58959   900117       65.85971       65.83804
  12      406.705      2.59609  1050979       65.91699       65.84001
  13      430.413      2.63346  1041109       65.92678       65.83642
  14      483.696      2.65606   883405       65.89096       65.87561
  15      508.723      2.61754   815925       65.88964       65.87468
  16      562.606      2.63816   694841       65.92535       65.85767
  17      580.017      2.67112   548807       65.95902       65.81441
  18      644.679      2.73356   386008       66.01561       65.71886
  19      662.027      2.68354   424226       66.02948       65.72795
  20      722.259      2.64738   403073       66.06579       65.74648
  21      738.773      2.66169   302279       66.08287       65.74492
  22      805.024      2.58464   166057       66.10512       65.85706
Semivariogram           tail:fe           head:fe            direction  4 
   1         .000       .00000    13026       65.81500       65.81500
   2       26.134      2.14110    43135       65.74346       65.88901
   3       52.922      2.37170   237052       65.70597       65.82292
   4       89.363      2.39672   559739       65.75645       65.89831
   5      121.361      2.45412   654575       65.71760       66.00301
   6      166.230      2.52918   828573       65.71693       66.01191
   7      197.095      2.55684   940820       65.73416       65.95520
   8      236.911      2.64006   704882       65.68133       65.93300
   9      282.326      2.67272   832254       65.74310       65.88200
  10      321.768      2.69217  1091680       65.79635       65.82007
  11      359.872      2.75497   916462       65.80101       65.77025
  12      400.541      2.76763   833611       65.82466       65.73263
  13      438.994      2.75134  1058866       65.85591       65.71343
  14      480.022      2.78793  1073258       65.87203       65.68315
  15      519.800      2.76750   947346       65.87387       65.67777
  16      558.677      2.75507   901672       65.86042       65.65841
  17      598.012      2.75800   904756       65.86131       65.66783
  18      634.870      2.70298   768327       65.84896       65.70434
  19      677.025      2.65121   598646       65.86944       65.69220
  20      718.661      2.66432   507947       65.91670       65.67127
  21      758.803      2.71657   370038       65.89790       65.67102
  22      791.010      2.74264   209112       65.90987       65.65404
