Semivariogram           tail:fe           head:fe            direction  1 
   1         .000       .00000    26052       65.81500       65.81500
   2         .000       .00000        0         .00000         .00000
   3        1.000      1.45432    24688       65.87036       65.87036
   4        2.000      1.56353    24168       65.86808       65.86808
   5        3.000      1.64215    23620       65.86050       65.86050
   6        4.000      1.66540    23116       65.85833       65.85833
   7        5.000      1.78258    22596       65.85514       65.85514
   8        6.000      1.82757    22122       65.84860       65.84860
   9        7.000      1.87068    21596       65.84834       65.84834
  10        8.000      1.92719    21108       65.84503       65.84503
  11        9.000      1.97126    20628       65.84062       65.84062
  12       10.000      1.93500    20068       65.84158       65.84158
  13       11.000      2.02761    19596       65.84019       65.84019
  14       12.000      2.06583    19084       65.83806       65.83806
  15       13.000      2.10699    18568       65.83570       65.83570
  16       14.000      2.12396    18046       65.83869       65.83869
  17       15.000      2.17626    17550       65.83544       65.83544
  18       16.000      2.15193    17046       65.83559       65.83559
  19       17.000      2.23563    16544       65.82488       65.82488
  20       18.000      2.22469    16004       65.83358       65.83358
  21       19.000      2.25862    15512       65.83083       65.83083
  22       20.000      2.31736    15024       65.82919       65.82919
  23       21.000      2.34996    14516       65.82719       65.82719
  24       22.000      2.38783    14012       65.82396       65.82396
  25       23.000      2.43265    13512       65.82633       65.82633
  26       24.000      2.44811    12998       65.82887       65.82887
  27       25.000      2.45264    12478       65.83229       65.83229
  28       26.000      2.42909    11982       65.82708       65.82708
  29       27.000      2.42233    11472       65.83250       65.83250
  30       28.000      2.51558    10974       65.83436       65.83436
  31       29.000      2.47413    10486       65.83203       65.83203
  32       30.000      2.56973     9966       65.83407       65.83407
